Sl. No.,Regions,State/UT,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April` 2023 to March 2024 - Col (2),November` 2023 - Program - Col (3),November` 2023 - Actual - Col (4),November` 2023 - Actual Same Month 2022-23 - Col (5),November` 2023 - % of Program  ( 4/3) - Col (6),November` 2023 - % of Last Year  ( 4/5)- Col (7),April` 2023 to November` 2023 - Program - Col (8),April` 2023 to November` 2023 - Actual - Col (9),April` 2023 to November` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to November` 2023 - % of Program ( 9/8) - Col (11),April` 2023 to November` 2023 - % of Last Year ( 9/10) - Col (12),Plant Load Factor ( %) - November` 2023 - Program - Col (13),Plant Load Factor ( %) - November` 2023 - Actual - Col (14),Plant Load Factor ( %) - November 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor ( %) - April 2023 to November` 2023 - Program - Col (16),Plant Load Factor ( %) - April` 2023 to November` 2023 - Actual - Col (17),Plant Load Factor ( %) - April` 2023 to November` 2023 - Actual Same Period 2022-23 - Col (18)
116,Northern Region,Punjub,State Sector,MUKERIAN-I HPS,NA,45,234,24,21.47,28.99,89.46,74.06,144,158.97,573.07,110.4,27.74,NA,NA,NA,NA,NA,NA
117,Northern Region,Punjub,State Sector,MUKERIAN-II HPS,NA,45,234,24,22.13,29.94,92.21,73.91,144,165.07,51.86,114.63,318.3,NA,NA,NA,NA,NA,NA
118,Northern Region,Punjub,State Sector,MUKERIAN-III HPS,NA,58.5,306,32,26.17,38.54,81.78,67.9,190,208.02,66.74,109.48,311.69,NA,NA,NA,NA,NA,NA
119,Northern Region,Punjub,State Sector,MUKERIAN-IV HPS,NA,58.5,306,32,27.56,37.98,86.13,72.56,190,162.32,65.86,85.43,246.46,NA,NA,NA,NA,NA,NA
120,Northern Region,Punjub,State Sector,RANJIT SAGAR HPS,NA,600,1580,100,62.78,100.06,62.78,62.74,1240,1574.68,1159.31,126.99,135.83,NA,NA,NA,NA,NA,NA
121,Northern Region,Punjub,State Sector,PSPCL,Hydro,941,3190,224,173.93,248,77.65,70.13,2344,2662.52,2273.13,113.59,117.13,NA,NA,NA,NA,NA,NA
122,Northern Region,Punjub,Pvt Sector,State Sector,Hydro,941,3190,224,173.93,248,77.65,70.13,2344,2662.52,2273.13,113.59,117.13,NA,NA,NA,NA,NA,NA
123,Northern Region,Punjub,Pvt Sector,GOINDWAL SAHIB TPP,NA,540,3000,244,188.49,132.15,77.25,142.63,2018,1569.52,1224.98,77.78,128.13,62.76,48.48,33.99,63.82,49.63,38.74
124,Northern Region,Punjub,Pvt Sector,GPGSL (GVK),Coal,540,3000,244,188.49,132.15,77.25,142.63,2018,1569.52,1224.98,77.78,128.13,62.76,48.48,33.99,63.82,49.63,38.74
125,Northern Region,Punjub,Pvt Sector,RAJPURA TPP,NA,1400,10400,863,724.66,629.88,83.97,115.05,7363,7075.55,7144.85,96.1,99.03,85.62,71.89,62.49,89.81,86.3,87.15
126,Northern Region,Punjub,Pvt Sector,NPL,Coal,1400,10400,863,724.66,629.88,83.97,115.05,7363,7075.55,7144.85,96.1,99.03,85.62,71.89,62.49,89.81,86.3,87.15
127,Northern Region,Punjub,Pvt Sector,TALWANDI SABO TPP,NA,1980,12400,787,857.67,1012.25,108.98,84.73,8304,7895.37,7627.64,95.08,103.51,55.2,60.16,71.01,71.62,68.09,65.78
128,Northern Region,Punjub,Pvt Sector,TSPL,Coal,1980,12400,787,857.67,1012.25,108.98,84.73,8304,7895.37,7627.64,95.08,103.51,55.2,60.16,71.01,71.62,68.09,65.78
129,Northern Region,Punjub,Pvt Sector,Pvt Sector,Thermal,3920,25800,1894,1770.82,1774.28,93.5,99.8,17685,16540.44,15997.47,93.53,103.39,67.11,62.74,62.86,77.04,72.05,69.69
130,Northern Region,Punjub,Central Sector,GANGUWAL HPS,NA,77.65,500,42,51.81,41.44,123.36,125.02,334,412.6,394.8,123.53,104.51,NA,NA,NA,NA,NA,NA
131,Northern Region,Punjub,Central Sector,KOTLA HPS,NA,77.65,500,42,52.67,41.32,125.4,127.47,334,417.82,396.85,125.1,105.28,NA,NA,NA,NA,NA,NA
132,Northern Region,Punjub,Central Sector,BBMB,Hydro,155.3,1000,84,104.48,82.76,124.38,126.24,668,830.42,791.65,124.31,104.9,NA,NA,NA,NA,NA,NA
133,Northern Region,Punjub,Central Sector,Central,Hydro,155.3,1000,84,104.48,82.76,124.38,126.24,668,830.42,791.65,124.31,104.9,NA,NA,NA,NA,NA,NA
134,Northern Region,Punjub,Central Sector,Total,Thermal,5680,32150,2341,2265.95,2270.65,96.79,99.79,22095,21982.12,20673.77,99.49,106.33,57.24,55.41,55.52,66.43,66.09,62.15
135,Northern Region,Punjub,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
136,Northern Region,Punjub,Central Sector,Total,Hydro,1096.3,4190,308,278.41,330.76,90.39,84.17,3012,3492.94,3064.78,115.97,113.97,NA,NA,NA,NA,NA,NA
137,Northern Region,Punjub,Central Sector,Total,Punjub,6776.3,36340,2649,2544.36,2601.41,96.05,97.81,25107,25475.06,23738.55,101.47,107.32,NA,NA,NA,NA,NA,NA
138,Northern Region,Rajasthan,State Sector,CHHABRA-II TPP,NA,1320,8400,734,649.79,444.36,88.53,146.23,5334,4469.22,5061.86,83.79,88.29,77.23,68.37,46.76,69,57.82,65.48
139,Northern Region,Rajasthan,State Sector,CHHABRA-I PH-1 TPP,NA,500,3400,299,257.3,278.74,86.05,92.31,2175,2246.01,2126.75,103.26,105.61,83.06,71.47,77.43,74.28,76.71,72.63
140,Northern Region,Rajasthan,State Sector,CHHABRA-I PH-2 TPP,NA,500,3000,274,277.25,219.5,101.19,126.31,1895,1406.25,1320.05,74.21,106.53,76.11,77.01,60.97,64.72,48.03,45.08
141,Northern Region,Rajasthan,State Sector,GIRAL TPS,NA,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Northern Region,Rajasthan,State Sector,KALISINDH TPS,NA,1200,7000,437,540.26,263.38,123.63,205.13,4955,4928.65,3659.12,99.47,134.69,50.58,62.53,30.48,70.51,70.14,52.07
143,Northern Region,Rajasthan,State Sector,KOTA TPS,NA,1240,8000,712,541.05,644.02,75.99,84.01,5353,5581.95,5182.67,104.28,107.7,79.75,60.6,72.13,73.72,76.87,71.37
144,Northern Region,Rajasthan,State Sector,SURATGARH STPS,NA,1320,6000,529,570.32,559.14,107.81,102,3930,4678.57,2679.93,119.05,174.58,55.66,60.01,58.83,50.84,60.53,34.67
145,Northern Region,Rajasthan,State Sector,SURATGARH TPS,NA,1500,6100,509,297.31,507.91,58.41,58.54,4106,4615.93,4373.28,112.42,105.55,47.13,27.53,47.03,46.74,52.55,49.79
146,Northern Region,Rajasthan,State Sector,RRVUNL,Coal,7830,41900,3494,3133.28,2917.05,89.68,107.41,27748,27926.58,24403.66,100.64,114.44,61.98,55.58,51.74,60.52,60.91,53.22
147,Northern Region,Rajasthan,State Sector,State Sector,Thermal,7830,41900,3494,3133.28,2917.05,89.68,107.41,27748,27926.58,24403.66,100.64,114.44,61.98,55.58,51.74,60.52,60.91,53.22
148,Northern Region,Rajasthan,State Sector,DHOLPUR CCPP,NA,330,150,12,0,0,0,0,99,28.17,0,28.45,0,NA,NA,NA,NA,NA,NA
149,Northern Region,Rajasthan,State Sector,RAMGARH CCPP,NA,273.5,1050,86,57.28,107.21,66.6,53.43,693,610.95,884.67,88.16,69.06,NA,NA,NA,NA,NA,NA
150,Northern Region,Rajasthan,State Sector,RRVUNL,Natural Gas,603.5,1200,98,57.28,107.21,58.45,53.43,792,639.12,884.67,80.7,72.24,NA,NA,NA,NA,NA,NA
151,Northern Region,Rajasthan,State Sector,State Sector,Natural Gas,603.5,1200,98,57.28,107.21,58.45,53.43,792,639.12,884.67,80.7,72.24,NA,NA,NA,NA,NA,NA
152,Northern Region,Rajasthan,State Sector,JAWAHAR SAGAR HPS,NA,99,200,44,41.86,41.95,95.14,99.79,84,157.75,167.35,187.8,94.26,NA,NA,NA,NA,NA,NA
153,Northern Region,Rajasthan,State Sector,MAHI BAJAJ-I HPS,NA,50,130,17,17.13,20.45,100.76,83.77,44,63.05,92.72,143.3,68,NA,NA,NA,NA,NA,NA
154,Northern Region,Rajasthan,State Sector,MAHI BAJAJ-II HPS,NA,90,30,2,9.66,4.75,483,203.37,16,40.98,53.18,256.13,77.06,NA,NA,NA,NA,NA,NA
155,Northern Region,Rajasthan,State Sector,R P SAGAR HPS,NA,172,312,45,73.5,57.89,163.33,126.96,131,243.44,195.81,185.83,124.32,NA,NA,NA,NA,NA,NA
156,Northern Region,Rajasthan,State Sector,RRVUNL,Hydro,411,672,108,142.15,125.04,131.62,113.68,275,505.22,509.06,183.72,99.25,NA,NA,NA,NA,NA,NA
157,Northern Region,Rajasthan,State Sector,State Sector,Hydro,411,672,108,142.15,125.04,131.62,113.68,275,505.22,509.06,183.72,99.25,NA,NA,NA,NA,NA,NA
158,Northern Region,Rajasthan,Pvt Sector,ADANI POWER LIMITED KAWAI TPP,NA,1320,9300,406,796.99,901.07,196.3,88.45,5969,5574.62,6112.9,93.39,91.19,42.72,83.86,94.81,77.22,72.12,79.08
159,Northern Region,Rajasthan,Pvt Sector,APL,Coal,1320,9300,406,796.99,901.07,196.3,88.45,5969,5574.62,6112.9,93.39,91.19,42.72,83.86,94.81,77.22,72.12,79.08
160,Northern Region,Rajasthan,Pvt Sector,JALIPA KAPURDI TPP,NA,1080,7200,592,555.79,623.09,93.88,89.2,4752,4499.82,4768.84,94.69,94.36,76.13,71.48,80.13,75.14,71.15,75.4
161,Northern Region,Rajasthan,Pvt Sector,JSWBL,Coal,1080,7200,592,555.79,623.09,93.88,89.2,4752,4499.82,4768.84,94.69,94.36,76.13,71.48,80.13,75.14,71.15,75.4
162,Northern Region,Rajasthan,Pvt Sector,SHREE CEMENT LTD TPS,NA,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Northern Region,Rajasthan,Pvt Sector,SCL,Coal,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Northern Region,Rajasthan,Pvt Sector,Pvt Sector,Thermal,2700,16500,998,1352.78,1524.16,135.55,88.76,10721,10074.44,10881.74,93.97,92.58,57.75,69.59,78.4,76.28,63.72,68.82
165,Northern Region,Rajasthan,Central Sector,BARSINGSAR LIGNITE,NA,250,1500,119,150.57,148.06,126.53,101.7,1011,1067.37,1080.8,105.58,98.76,66.11,83.65,82.26,69.06,72.91,73.83
166,Northern Region,Rajasthan,Central Sector,NLC,Coal,250,1500,119,150.57,148.06,126.53,101.7,1011,1067.37,1080.8,105.58,98.76,66.11,83.65,82.26,69.06,72.91,73.83
167,Northern Region,Rajasthan,Central Sector,Central,Thermal,250,1500,119,150.57,148.06,126.53,101.7,1011,1067.37,1080.8,105.58,98.76,66.11,83.65,82.26,69.06,72.91,73.83
168,Northern Region,Rajasthan,Central Sector,ANTA CCPP,NA,419.33,140,8,4.05,15.52,50.63,26.1,88,325.46,96.79,369.84,336.25,NA,NA,NA,NA,NA,NA
169,Northern Region,Rajasthan,Central Sector,NTPC Ltd.,Natural Gas,419.33,140,8,4.05,15.52,50.63,26.1,88,325.46,96.79,369.84,336.25,NA,NA,NA,NA,NA,NA
170,Northern Region,Rajasthan,Central Sector,Central,Natural Gas,419.33,140,8,4.05,15.52,50.63,26.1,88,325.46,96.79,369.84,336.25,NA,NA,NA,NA,NA,NA
171,Northern Region,Rajasthan,Central Sector,DAE (RAJASTHAN),NA,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Northern Region,Rajasthan,Central Sector,DAE,Nuclear,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Northern Region,Rajasthan,Central Sector,RAJASTHAN A.P.S.,NA,1080,6141,521,582.97,475.1,111.89,122.7,4172,4606.01,4831.74,110.4,95.33,67,74.97,61.1,65.97,72.83,76.4
174,Northern Region,Rajasthan,Central Sector,NPCIL,Nuclear,1080,6141,521,582.97,475.1,111.89,122.7,4172,4606.01,4831.74,110.4,95.33,67,74.97,61.1,65.97,72.83,76.4
175,Northern Region,Rajasthan,Central Sector,Central,Nuclear,1180,6141,521,582.97,475.1,111.89,122.7,4172,4606.01,4831.74,110.4,95.33,67,68.62,55.92,65.97,66.66,69.92
176,Northern Region,Rajasthan,Central Sector,Total,Thermal,10780,59900,4611,4636.63,4589.27,100.56,101.03,39480,39068.39,36366.2,98.96,107.43,61.11,59.74,59.13,64.33,61.89,57.61
177,Northern Region,Rajasthan,Central Sector,Total,Nuclear,1180,6141,521,582.97,475.1,111.89,122.7,4172,4606.01,4831.74,110.4,95.33,67,68.62,55.92,65.97,66.66,69.92
178,Northern Region,Rajasthan,Central Sector,Total,Natural Gas,1022.83,1340,106,61.33,122.73,57.86,49.97,880,964.58,981.46,109.61,98.28,NA,NA,NA,NA,NA,NA
179,Northern Region,Rajasthan,Central Sector,Total,Hydro,411,672,108,142.15,125.04,131.62,113.68,275,505.22,509.06,183.72,99.25,NA,NA,NA,NA,NA,NA
180,Northern Region,Rajasthan,Central Sector,Total,Rajasthan,13393.83,68053,5346,5423.08,5312.14,101.44,102.09,44807,45144.2,42688.46,100.75,105.75,NA,NA,NA,NA,NA,NA
181,Northern Region,Uttarakhand,State Sector,CHIBRO (YAMUNA) HPS,NA,240,857,45,36.17,53.39,80.38,67.75,705,638.27,706.54,90.53,90.34,NA,NA,NA,NA,NA,NA
182,Northern Region,Uttarakhand,State Sector,CHILLA HPS,NA,144,780,60,57.55,56.37,95.92,102.09,568,497.37,576.89,87.57,86.22,NA,NA,NA,NA,NA,NA
183,Northern Region,Uttarakhand,State Sector,DHAKRANI HPS,NA,33.75,150,8,7.38,11.24,92.25,65.66,119,91.26,110.12,76.69,82.87,NA,NA,NA,NA,NA,NA
184,Northern Region,Uttarakhand,State Sector,DHALIPUR HPS,NA,51,223,15,13.25,19.33,88.33,68.55,181,112.43,160.9,62.12,69.88,NA,NA,NA,NA,NA,NA
185,Northern Region,Uttarakhand,State Sector,KHATIMA HPS,NA,41.4,210,11,6.55,14.67,59.55,44.65,165,160.94,177.52,97.54,90.66,NA,NA,NA,NA,NA,NA
186,Northern Region,Uttarakhand,State Sector,KHODRI HPS,NA,120,390,20,18.24,27.63,91.2,66.02,318,305.95,336.49,96.21,90.92,NA,NA,NA,NA,NA,NA
187,Northern Region,Uttarakhand,State Sector,KULHAL HPS,NA,30,140,9,9.03,12.8,100.33,70.55,112,96.67,121.97,86.31,79.26,NA,NA,NA,NA,NA,NA
188,Northern Region,Uttarakhand,State Sector,MANERI BHALI-I HPS,NA,90,462,29,35.51,35.87,122.45,99,380,394.42,325.09,103.79,121.33,NA,NA,NA,NA,NA,NA
189,Northern Region,Uttarakhand,State Sector,MANERI BHALI-II HPS,NA,304,1310,65,51.58,54.43,79.35,94.76,1126,1054.83,1129.37,93.68,93.4,NA,NA,NA,NA,NA,NA
190,Northern Region,Uttarakhand,State Sector,RAMGANGA HPS,NA,198,260,4,6.42,0.39,160.5,1646.15,88,132.43,207.14,150.49,63.93,NA,NA,NA,NA,NA,NA
191,Northern Region,Uttarakhand,State Sector,VYASI HPS,NA,120,353,14,9.99,21.74,71.36,45.95,291,278.25,293.44,95.62,94.82,NA,NA,NA,NA,NA,NA
192,Northern Region,Uttarakhand,State Sector,UJVNL,Hydro,1372.15,5135,280,251.67,307.86,89.88,81.75,4053,3762.82,4145.47,92.84,90.77,NA,NA,NA,NA,NA,NA
193,Northern Region,Uttarakhand,State Sector,State Sector,Hydro,1372.15,5135,280,251.67,307.86,89.88,81.75,4053,3762.82,4145.47,92.84,90.77,NA,NA,NA,NA,NA,NA
194,Northern Region,Uttarakhand,Pvt Sector,BETA CCPP,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
195,Northern Region,Uttarakhand,Pvt Sector,BIPL,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
196,Northern Region,Uttarakhand,Pvt Sector,GAMA CCPP,NA,225,50,4,0,0,0,0,34,169.69,0,499.09,0,NA,NA,NA,NA,NA,NA
197,Northern Region,Uttarakhand,Pvt Sector,GIPL,Natural Gas,225,50,4,0,0,0,0,34,169.69,0,499.09,0,NA,NA,NA,NA,NA,NA
198,Northern Region,Uttarakhand,Pvt Sector,SRAVANTHI CCPP,NA,439,200,17,0,0,0,0,135,125.12,0,92.68,0,NA,NA,NA,NA,NA,NA
199,Northern Region,Uttarakhand,Pvt Sector,SrEPL,Natural Gas,439,200,17,0,0,0,0,135,125.12,0,92.68,0,NA,NA,NA,NA,NA,NA
200,Northern Region,Uttarakhand,Pvt Sector,Pvt Sector,Natural Gas,664,250,21,0,0,0,0,169,294.81,0,174.44,0,NA,NA,NA,NA,0,NA
201,Northern Region,Uttarakhand,Pvt Sector,SHRINAGAR HPS,NA,330,1310,60,61.04,82.92,101.73,73.61,1137,1148.75,1338.87,101.03,85.8,NA,NA,NA,NA,NA,NA
202,Northern Region,Uttarakhand,Pvt Sector,AHPC (GVK),Hydro,330,1310,60,61.04,82.92,101.73,73.61,1137,1148.75,1338.87,101.03,85.8,NA,NA,NA,NA,NA,NA
203,Northern Region,Uttarakhand,Pvt Sector,VISHNU PRAYAG HPS,NA,400,1750,80,72.26,75.87,90.32,95.24,1535,1454.62,1716.55,94.76,84.74,NA,NA,NA,NA,NA,NA
204,Northern Region,Uttarakhand,Pvt Sector,JPPVL,Hydro,400,1750,80,72.26,75.87,90.33,95.24,1535,1454.62,1716.55,94.76,84.74,NA,NA,NA,NA,NA,NA
205,Northern Region,Uttarakhand,Pvt Sector,SINGOLI BHATWARI HPS,NA,99,439,24,20.36,27.43,84.83,74.23,384,345.46,407.33,89.96,84.81,NA,NA,NA,NA,NA,NA
206,Northern Region,Uttarakhand,Pvt Sector,L&T,Hydro,99,439,24,20.36,27.43,84.83,74.23,384,345.46,407.33,89.96,84.81,NA,NA,NA,NA,NA,NA
207,Northern Region,Uttarakhand,Pvt Sector,Pvt Sector,Hydro,829,3499,164,153.66,186.22,93.7,82.52,3056,2948.83,3462.75,96.49,85.16,NA,NA,NA,NA,NA,NA
208,Northern Region,Uttarakhand,Central Sector,DHAULI GANGA HPS,NA,280,1165,49,37.2,65.59,75.92,56.72,1058,874.98,1167.31,82.7,74.96,NA,NA,NA,NA,NA,NA
209,Northern Region,Uttarakhand,Central Sector,TANAKPUR HPS,NA,94.2,499,39,30.74,44.76,78.82,68.68,417,387.54,448.16,92.94,86.47,NA,NA,NA,NA,NA,NA
210,Northern Region,Uttarakhand,Central Sector,NHPC,Hydro,374.2,1664,88,67.94,110.35,77.2,61.57,1475,1262.52,1615.47,85.59,78.15,NA,NA,NA,NA,NA,NA
211,Northern Region,Uttarakhand,Central Sector,TAPOVAN VISHNUGAD HPS,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
212,Northern Region,Uttarakhand,Central Sector,NTPC Ltd.,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
213,Northern Region,Uttarakhand,Central Sector,NAITWAR MORI HPS,NA,30,215,12,0,0,0,0,182,0,0,0,0,NA,NA,NA,NA,NA,NA
214,Northern Region,Uttarakhand,Central Sector,SJVNL,Hydro,30,215,12,0,0,0,0,182,0,0,0,0,NA,NA,NA,NA,NA,NA
215,Northern Region,Uttarakhand,Central Sector,KOTESHWAR HPS,NA,400,1160,68,84.24,64.56,123.88,130.48,771,843.61,869.8,109.42,96.99,NA,NA,NA,NA,NA,NA
216,Northern Region,Uttarakhand,Central Sector,TEHRI ST-1 HPS,NA,1000,3000,206,244.27,194.17,118.58,125.8,1965,2301.53,2216.42,117.13,103.84,NA,NA,NA,NA,NA,NA
217,Northern Region,Uttarakhand,Central Sector,THDC,Hydro,1400,4160,274,328.51,258.73,119.89,126.97,2736,3145.14,3086.22,114.95,101.91,NA,NA,NA,NA,NA,NA
218,Northern Region,Uttarakhand,Central Sector,Central,Hydro,1804.2,6039,374,396.45,369.08,106,107.42,4393,4407.66,4701.69,100.33,93.75,NA,NA,NA,NA,NA,NA
219,Northern Region,Uttarakhand,Central Sector,Total,Natural Gas,664,250,21,0,0,0,0,169,294.81,0,174.44,0,NA,NA,NA,NA,NA,NA
220,Northern Region,Uttarakhand,Central Sector,Total,Hydro,4005.35,14673,818,801.78,863.16,98.02,92.89,11502,11119.31,12309.91,96.67,90.33,NA,NA,NA,NA,NA,NA
221,Northern Region,Uttarakhand,Central Sector,Total,Uttarakhand,4669.35,14923,839,801.78,863.16,95.56,92.89,11671,11414.12,12309.91,97.8,92.72,NA,NA,NA,NA,NA,NA
222,Northern Region,Uttar Pradesh,State Sector,ANPARA TPS,NA,2630,19700,1695,1204.32,1389.74,71.05,86.66,13630,12077.25,13353.6,88.61,90.44,89.51,63.6,73.39,88.5,78.42,86.7
223,Northern Region,Uttar Pradesh,State Sector,HARDUAGANJ TPS,NA,1265,6800,558,509.42,315.42,91.29,161.51,4579,4380.63,4165.87,95.67,105.16,61.26,55.93,34.63,61.81,59.14,56.24
224,Northern Region,Uttar Pradesh,State Sector,JAWAHARPUR STPP,NA,0,2000,168,0,0,0,0,810,0,0,0,0,35.35,0,0,20.96,0,0
225,Northern Region,Uttar Pradesh,State Sector,OBRA-C STPP,NA,0,2000,166,0,0,0,0,815,0,0,0,0,34.93,0,0,21.09,0,0
226,Northern Region,Uttar Pradesh,State Sector,OBRA TPS,NA,1000,5700,431,414.52,529.98,96.18,78.21,3929,3251.25,3670.27,82.75,88.58,59.86,57.57,73.61,67.09,55.52,57.9
227,Northern Region,Uttar Pradesh,State Sector,PANKI TPS EXT,NA,NA,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Northern Region,Uttar Pradesh,State Sector,PARICHHA TPS,NA,920,5300,404,332.34,333.62,82.26,99.62,3669,3610.22,3629.47,98.4,99.47,49.22,50.17,40.65,54.96,55.39,54.37
229,Northern Region,Uttar Pradesh,State Sector,UPRVUNL,Coal,5815,41900,3422,2460.6,2568.76,71.91,95.79,27432,23319.35,24819.21,85.01,93.96,64.62,58.77,59.12,63.69,66.28,69.28
230,Northern Region,Uttar Pradesh,State Sector,State Sector,Thermal,5815,41900,3422,2460.6,2568.76,71.91,95.79,27432,23319.35,24819.21,85.01,93.96,64.62,58.77,59.12,63.69,66.28,69.28
231,Northern Region,Uttar Pradesh,State Sector,KHARA HPS,NA,72,334,18,20.09,28.47,111.61,70.57,272,218.08,270.81,80.18,80.53,NA,NA,NA,NA,NA,NA
232,Northern Region,Uttar Pradesh,State Sector,MATATILA HPS,NA,30.6,120,16,8.89,7.44,55.56,119.49,69,59.19,74.69,85.78,79.25,NA,NA,NA,NA,NA,NA
233,Northern Region,Uttar Pradesh,State Sector,OBRA HPS,NA,99,220,15,0.89,1.56,5.93,57.05,150,110.32,78.71,73.55,140.16,NA,NA,NA,NA,NA,NA
234,Northern Region,Uttar Pradesh,State Sector,RIHAND HPS,NA,300,650,40,2.55,4.62,6.38,55.19,430,251.82,163.81,58.56,153.73,NA,NA,NA,NA,NA,NA
235,Northern Region,Uttar Pradesh,State Sector,UPJVNL,Hydro,501.6,1324,89,32.42,42.09,36.43,77.03,921,639.41,588.02,69.43,108.74,NA,NA,NA,NA,NA,NA
236,Northern Region,Uttar Pradesh,State Sector,State Sector,Hydro,501.6,1324,89,32.42,42.09,36.43,77.03,921,639.41,588.02,69.43,108.74,NA,NA,NA,NA,NA,NA
237,Northern Region,Uttar Pradesh,Pvt Sector,BARKHERA TPS,NA,90,300,24,15.18,0,63.25,0,204,256.9,196.98,125.93,130.42,37.04,23.43,0,38.71,48.74,37.37
238,Northern Region,Uttar Pradesh,Pvt Sector,KHAMBARKHERA TPS,NA,90,280,23,15.18,0,66,0,192,262.68,193.09,136.81,136.04,35.49,23.43,0,36.43,49.84,36.64
239,Northern Region,Uttar Pradesh,Pvt Sector,KUNDARKI TPS,NA,90,325,26,15.18,0,58.38,0,222,256.53,192.39,115.55,133.34,40.12,23.43,0,42.12,48.67,36.5
240,Northern Region,Uttar Pradesh,Pvt Sector,MAQSOODPUR TPS,NA,90,280,23,15.16,0,65.91,0,192,271.46,193.87,141.39,140.02,35.49,23.4,0,36.43,51.51,36.78
241,Northern Region,Uttar Pradesh,Pvt Sector,UTRAULA TPS,NA,90,350,28,17.27,0,61.68,0,240,258.38,201.69,107.66,128.11,43.21,26.65,0,45.54,49.02,38.27
242,Northern Region,Uttar Pradesh,Pvt Sector,BEPL,Coal,450,1535,124,77.97,0,62.88,0,1050,1305.95,978.02,124.38,133.53,38.27,24.06,0,39.85,49.56,37.11
243,Northern Region,Uttar Pradesh,Pvt Sector,ANPARA C TPS,NA,1200,8900,687,460.74,647.17,67.07,71.19,5810,5757.17,5423.1,99.09,106.16,79.51,53.33,74.9,82.68,81.93,77.17
244,Northern Region,Uttar Pradesh,Pvt Sector,LAPPL,Coal,1200,8900,687,460.74,647.17,67.07,71.19,5810,5757.17,5423.1,99.09,106.16,79.51,53.33,74.9,82.68,81.93,77.17
245,Northern Region,Uttar Pradesh,Pvt Sector,LALITPUR TPS,NA,1980,10500,774,858.08,677.24,110.86,126.7,7212,8671.96,7809.6,120.24,111.04,54.29,60.19,47.51,62.2,74.79,67.35
246,Northern Region,Uttar Pradesh,Pvt Sector,LPGCL,Coal,1980,10500,774,858.08,677.24,110.86,126.7,7212,8671.96,7809.6,120.24,111.04,54.29,60.19,47.51,62.2,74.79,67.35
247,Northern Region,Uttar Pradesh,Pvt Sector,PRAYAGRAJ TPP,NA,1980,12600,723,1034.42,1042.56,143.07,99.22,8542,8628.98,8564.06,101.02,100.76,50.72,72.56,73.13,73.67,74.42,73.86
248,Northern Region,Uttar Pradesh,Pvt Sector,PPGCL (Jaypee),Coal,1980,12600,723,1034.42,1042.56,143.07,99.22,8542,8628.98,8564.06,101.02,100.76,50.72,72.56,73.13,73.67,74.42,73.86
249,Northern Region,Uttar Pradesh,Pvt Sector,ROSA TPP Ph-I,NA,1200,6700,501,531.7,723.8,106.13,73.46,4642,5084.6,5187.35,109.53,98.02,57.99,61.54,83.77,66.06,72.36,73.82
250,Northern Region,Uttar Pradesh,Pvt Sector,RPSCL,Coal,1200,6700,501,531.7,723.8,106.13,73.46,4642,5084.6,5187.35,109.53,98.02,57.99,61.54,83.77,66.06,72.36,73.82
251,Northern Region,Uttar Pradesh,Pvt Sector,Pvt Sector,Thermal,6810,40235,2809,2962.91,3090.77,105.48,95.86,27256,29448.66,27962.13,108.04,105.32,57.29,60.43,63.04,68.35,73.84,70.12
252,Northern Region,Uttar Pradesh,Central Sector,MEJA STPP,NA,1320,7700,287,389.01,822.51,135.54,47.3,5035,5173.39,4243.88,102.75,121.9,30.2,40.93,86.54,65.14,66.93,54.9
253,Northern Region,Uttar Pradesh,Central Sector,MUNPL,Coal,1320,7700,287,389.01,822.51,135.54,47.3,5035,5173.39,4243.88,102.75,121.9,30.2,40.93,86.54,65.14,66.93,54.9
254,Northern Region,Uttar Pradesh,Central Sector,DADRI (NCTPP),NA,1820,12600,1060,670.41,661.69,63.25,101.32,8549,6615.22,7030.98,77.38,94.09,80.89,51.16,50.5,80.21,62.07,65.97
255,Northern Region,Uttar Pradesh,Central Sector,RIHAND STPS,NA,3000,24600,1758,2026.81,1727.48,115.29,117.33,16838,15930.45,15642.02,94.61,101.84,81.39,93.83,79.98,95.84,90.68,89.04
