Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),October` 2023 - Program - Col (3),October` 2023 - Actual - Col (4),October` 2023 - Actual Same Month 2022-23 - Col (5),October` 2023 - % of Program Col. (4/3) - Col (6),October` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to October` 2023 - Program - Col (8),April` 2023 to October` 2023 - Actual - Col (9),April` 2023 to October` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to October` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to October` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - October` 2023 - Program - Col (13),Plant Load Factor (%) - October` 2023 - Actual - Col (14),Plant Load Factor (%) - October` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to October` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to October` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to October` 2023 - Actual Same Peroid 2022-23 - Col (18)
117,Northern Region,Punjab,State Sector,MUKERIAN-II HPS,NA,45,234,24,29.85,21.92,124.38,136.18,120,142.94,21.92,119.12,652.1,NA,NA,NA,NA,NA,NA
118,Northern Region,Punjab,State Sector,MUKERIAN-III HPS,NA,58.5,306,32,38.58,28.2,120.56,136.81,158,181.85,28.2,115.09,644.86,NA,NA,NA,NA,NA,NA
119,Northern Region,Punjab,State Sector,MUKERIAN-IV HPS,NA,58.5,306,32,3.78,27.88,11.81,13.56,158,134.76,27.88,85.29,483.36,NA,NA,NA,NA,NA,NA
120,Northern Region,Punjab,State Sector,RANJIT SAGAR HPS,NA,600,1580,100,89.2,143.03,89.2,62.36,1140,1511.9,1059.25,132.62,142.73,NA,NA,NA,NA,NA,NA
121,Northern Region,Punjab,State Sector,PSPCL,Hydro,941,3190,250,243.98,265.51,97.59,91.89,2120,2488.59,2025.13,117.39,122.89,NA,NA,NA,NA,NA,NA
122,Northern Region,Punjab,State Sector,State Sector,Hydro,941,3190,250,243.98,265.51,97.59,91.89,2120,2488.59,2025.13,117.39,122.89,NA,NA,NA,NA,NA,NA
123,Northern Region,Punjab,State Sector,GOINDWAL SAHIB TPP,NA,540,3000,222,138.69,130.12,62.47,106.59,1774,1381.03,1092.83,77.85,126.37,55.26,34.52,32.39,63.96,49.79,39.4
124,Northern Region,Punjab,State Sector,GPGSL (GVK),Coal,540,3000,222,138.69,130.12,62.47,106.59,1774,1381.03,1092.83,77.85,126.37,55.26,34.52,32.39,63.96,49.79,39.4
125,Northern Region,Punjab,Pvt Sector,RAJPURA TPP,NA,1400,10400,901,889.16,819.93,98.69,108.44,6500,6350.89,6514.97,97.71,97.48,86.5,85.36,78.72,90.4,88.32,90.61
126,Northern Region,Punjab,Pvt Sector,NPL,Coal,1400,10400,901,889.16,819.93,98.69,108.44,6500,6350.89,6514.97,97.71,97.48,86.5,85.36,78.72,90.4,88.32,90.61
127,Northern Region,Punjab,Pvt Sector,TALWANDI SABO TPP,NA,1980,12400,965,979.15,765.77,101.47,127.86,7517,7037.7,6615.39,93.62,106.38,65.51,66.47,51.98,73.92,69.21,65.05
128,Northern Region,Punjab,Pvt Sector,TSPL,Coal,1980,12400,965,979.15,765.77,101.47,127.86,7517,7037.7,6615.39,93.62,106.38,65.51,66.47,51.98,73.92,69.21,65.05
129,Northern Region,Punjab,Pvt Sector,Pvt Sector,Thermal,3920,25800,2088,2007,1715.82,96.12,116.97,15791,14769.62,14223.19,93.53,103.84,71.59,68.82,58.83,78.43,73.36,70.65
130,Northern Region,Punjab,Central Sector,GANGUWAL HPS,NA,77.65,500,42,55.16,50.71,131.33,108.78,292,360.79,353.36,123.56,102.1,NA,NA,NA,NA,NA,NA
131,Northern Region,Punjab,Central Sector,KOTLA HPS,NA,77.65,500,42,55.86,50.7,133,110.18,292,365.15,355.53,125.05,102.71,NA,NA,NA,NA,NA,NA
132,Northern Region,Punjab,Central Sector,BBMB,Hydro,155.3,1000,84,111.02,101.41,132.17,109.48,584,725.94,708.89,124.3,102.41,NA,NA,NA,NA,NA,NA
133,Northern Region,Punjab,Central Sector,Central,Hydro,155.3,1000,84,111.02,101.41,132.17,109.48,584,725.94,708.89,124.3,102.41,NA,NA,NA,NA,NA,NA
134,Northern Region,Punjab,Central Sector,Total,Thermal,5680,32150,2573,2835.92,1956.17,110.22,144.97,19754,19716.17,18403.12,99.81,107.13,60.89,67.11,46.29,67.71,67.58,63.08
135,Northern Region,Punjab,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
136,Northern Region,Punjab,Central Sector,Total,Hydro,1096.3,4190,334,355,366.92,106.29,96.75,2704,3214.53,2734.02,118.88,117.58,NA,NA,NA,NA,NA,NA
137,Northern Region,Punjab,Central Sector,Total,Punjab,6776.3,36340,2907,3190.92,2323.09,109.77,137.36,22458,22930.7,21137.14,102.1,108.49,NA,NA,NA,NA,NA,NA
138,Northern Region,Rajasthan,State Sector,CHHABRA-II TPP,NA,1320,8400,660,685.41,579.27,103.85,118.32,4600,3819.43,4617.5,83.03,82.72,67.2,69.79,58.98,67.85,56.34,68.11
139,Northern Region,Rajasthan,State Sector,CHHABRA-I PH-1 TPP,NA,500,3400,269,307.81,265.32,114.43,116.01,1876,1988.71,1848.01,106.01,107.61,72.31,82.74,71.32,73.05,77.44,71.96
140,Northern Region,Rajasthan,State Sector,CHHABRA-I PH-2 TPP,NA,500,3000,246,221.92,147.68,90.21,150.27,1621,1129,1100.55,69.65,102.59,66.13,59.66,39.7,63.12,43.96,42.86
141,Northern Region,Rajasthan,State Sector,GIRAL TPS,NA,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Northern Region,Rajasthan,State Sector,KALISINDH TPS,NA,1200,7000,580,624.37,336.2,107.65,185.71,4518,4388.39,3395.74,97.13,129.23,64.96,69.93,37.66,73.31,71.2,55.1
143,Northern Region,Rajasthan,State Sector,KOTA TPS,NA,1240,8000,553,813.31,655.02,147.07,124.17,4641,5040.9,4538.65,108.62,111.07,59.94,88.16,71,72.87,79.15,71.27
144,Northern Region,Rajasthan,State Sector,SURATGARH STPS,NA,1320,6000,466,641.56,327.94,137.67,195.63,3401,4108.25,2120.79,120.8,193.71,47.45,65.33,33.39,50.17,60.6,31.28
145,Northern Region,Rajasthan,State Sector,SURATGARH TPS,NA,1500,6100,446,533.59,370.08,119.64,144.18,3597,4318.62,3865.37,120.06,111.73,39.96,47.81,33.16,46.69,56.06,50.17
146,Northern Region,Rajasthan,State Sector,RRVUNL,Coal,7830,41900,3220,3827.97,2681.51,118.88,142.75,24254,24793.3,21486.61,102.22,115.39,55.27,65.71,46.03,60.31,61.65,53.43
147,Northern Region,Rajasthan,State Sector,State Sector,Thermal,7830,41900,3220,3827.97,2681.51,118.88,142.75,24254,24793.3,21486.61,102.22,115.39,55.27,65.71,46.03,60.31,61.65,53.43
148,Northern Region,Rajasthan,State Sector,DHOLPUR CCPP,NA,330,150,12,25.01,0,208.42,0,87,28.17,0,32.38,0,NA,NA,NA,NA,NA,NA
149,Northern Region,Rajasthan,State Sector,RAMGARH CCPP,NA,273.5,1050,79,54.17,111.28,68.57,48.68,607,553.67,777.46,91.21,71.22,NA,NA,NA,NA,NA,NA
150,Northern Region,Rajasthan,State Sector,RRVUNL,Natural Gas,603.5,1200,91,79.18,111.28,87.01,71.15,694,581.84,777.46,83.84,74.84,NA,NA,NA,NA,NA,NA
151,Northern Region,Rajasthan,State Sector,State Sector,Natural Gas,603.5,1200,91,79.18,111.28,87.01,71.15,694,581.84,777.46,83.84,74.84,NA,NA,NA,NA,NA,NA
152,Northern Region,Rajasthan,State Sector,JAWAHAR SAGAR HPS,NA,99,200,26,17.66,25.36,67.92,69.64,40,115.89,125.4,289.73,92.42,NA,NA,NA,NA,NA,NA
153,Northern Region,Rajasthan,State Sector,MAHI BAJAJ-I HPS,NA,50,130,0,15.94,16.98,0,93.88,27,45.92,72.27,170.07,63.54,NA,NA,NA,NA,NA,NA
154,Northern Region,Rajasthan,State Sector,MAHI BAJAJ-II HPS,NA,90,30,0,7.25,13.09,0,55.39,14,31.32,48.43,223.71,64.67,NA,NA,NA,NA,NA,NA
155,Northern Region,Rajasthan,State Sector,R P SAGAR HPS,NA,172,312,45,29.65,34.17,65.89,86.77,86,169.94,137.92,197.6,123.22,NA,NA,NA,NA,NA,NA
156,Northern Region,Rajasthan,State Sector,RRVUNL,Hydro,411,672,71,70.5,89.6,99.3,78.68,167,363.07,384.02,217.41,94.54,NA,NA,NA,NA,NA,NA
157,Northern Region,Rajasthan,State Sector,State Sector,Hydro,411,672,71,70.5,89.6,99.3,78.68,167,363.07,384.02,217.41,94.54,NA,NA,NA,NA,NA,NA
158,Northern Region,Rajasthan,Pvt Sector,KAWAI TPS,NA,1320,9300,651,887.63,857.45,136.35,103.52,5563,4777.63,5211.83,85.88,91.67,66.29,90.38,87.31,82.06,70.47,76.88
159,Northern Region,Rajasthan,Pvt Sector,APL,Coal,1320,9300,651,887.63,857.45,136.35,103.52,5563,4777.63,5211.83,85.88,91.67,66.29,90.38,87.31,82.06,70.47,76.88
160,Northern Region,Rajasthan,Pvt Sector,JALIPA KAPURDI TPP,NA,1080,7200,544,568.43,574.74,104.49,98.9,4160,3944.03,4145.75,94.81,95.13,67.7,70.74,71.53,75,71.1,74.74
161,Northern Region,Rajasthan,Pvt Sector,JSWBL,Coal,1080,7200,544,568.43,574.74,104.49,98.9,4160,3944.03,4145.75,94.81,95.13,67.7,70.74,71.53,75,71.1,74.74
162,Northern Region,Rajasthan,Pvt Sector,SHREE CEMENT LTD TPS,NA,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Northern Region,Rajasthan,Pvt Sector,SCL,Coal,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Northern Region,Rajasthan,Pvt Sector,Pvt Sector,Thermal,2700,16500,1195,1456.06,1432.19,121.85,101.67,9723,8721.66,9357.58,89.7,93.2,66.92,72.48,71.3,78.88,62.89,67.48
165,Northern Region,Rajasthan,Central Sector,BARSINGSAR LIGNITE,NA,250,1500,114,136.55,181.07,119.78,75.41,892,916.8,932.74,102.78,98.29,61.29,73.41,97.35,69.47,71.4,72.64
166,Northern Region,Rajasthan,Central Sector,NLC,Coal,250,1500,114,136.55,181.07,119.78,75.41,892,916.8,932.74,102.78,98.29,61.29,73.41,97.35,69.47,71.4,72.64
167,Northern Region,Rajasthan,Central Sector,CENTRAL,Thermal,250,1500,114,136.55,181.07,119.78,75.41,892,916.8,932.74,102.78,98.29,61.29,73.41,97.35,69.47,71.4,72.64
168,Northern Region,Rajasthan,Central Sector,ANTA CCPP,NA,419.33,140,8,61.62,8.55,770.25,720.7,80,321.41,81.27,401.76,395.48,NA,NA,NA,NA,NA,NA
169,Northern Region,Rajasthan,Central Sector,NTPC Ltd.,Natural Gas,419.33,140,8,61.62,8.55,770.25,720.7,80,321.41,81.27,401.76,395.48,NA,NA,NA,NA,NA,NA
170,Northern Region,Rajasthan,Central Sector,CENTRAL,Natural Gas,419.33,140,8,61.62,8.55,770.25,720.7,80,321.41,81.27,401.76,395.48,NA,NA,NA,NA,NA,NA
171,Northern Region,Rajasthan,Central Sector,DAE (RAJASTHAN),NA,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Northern Region,Rajasthan,Central Sector,DAE,Nuclear,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Northern Region,Rajasthan,Central Sector,RAJASTHAN A.P.S.,NA,1080,6141,479,440.04,615.14,91.87,71.53,3651,4023.04,4356.64,110.19,92.34,59.61,54.76,76.56,65.82,72.53,78.54
174,Northern Region,Rajasthan,Central Sector,NPCIL,Nuclear,1080,6141,479,440.04,615.14,91.87,71.53,3651,4023.04,4356.64,110.19,92.34,59.61,54.76,76.56,65.82,72.53,78.54
175,Northern Region,Rajasthan,Central Sector,Central,Nuclear,1180,6141,479,440.04,615.14,91.87,71.53,3651,4023.04,4356.64,110.19,92.34,59.61,50.12,70.07,65.82,66.38,71.89
176,Northern Region,Rajasthan,Central Sector,Total,Thermal,10780,59900,4529,5420.58,4294.77,119.69,126.21,34869,34431.76,31776.93,98.75,108.35,58.09,67.59,53.55,64.78,62.19,57.39
177,Northern Region,Rajasthan,Central Sector,Total,Nuclear,1180,6141,479,440.04,615.14,91.87,71.53,3651,4023.04,4356.64,110.19,92.34,59.61,50.12,70.07,65.82,66.38,71.89
178,Northern Region,Rajasthan,Central Sector,Total,Natural Gas,1022.83,1340,99,140.8,119.83,142.22,117.5,774,903.25,858.73,116.7,105.18,NA,NA,NA,NA,NA,NA
179,Northern Region,Rajasthan,Central Sector,Total,Hydro,411,672,71,70.5,89.6,99.3,78.68,167,363.07,384.02,217.41,94.54,NA,NA,NA,NA,NA,NA
180,Northern Region,Rajasthan,Central Sector,Total,Rajasthan,13393.83,68053,5178,6071.92,5119.34,117.26,118.61,39461,39721.12,37376.32,100.66,106.27,NA,NA,NA,NA,NA,NA
181,Northern Region,Uttarakhand,State Sector,CHIBRO (YAMUNA) HPS,NA,240,857,75,54.48,114.49,72.64,47.58,660,602.1,653.15,91.23,92.18,NA,NA,NA,NA,NA,NA
182,Northern Region,Uttarakhand,State Sector,CHILLA HPS,NA,144,780,70,60.53,83.89,86.47,72.15,508,439.82,520.52,86.58,84.5,NA,NA,NA,NA,NA,NA
183,Northern Region,Uttarakhand,State Sector,DHAKRANI HPS,NA,33.75,150,14,11.58,19.8,82.71,58.48,111,83.88,98.88,75.57,84.83,NA,NA,NA,NA,NA,NA
184,Northern Region,Uttarakhand,State Sector,DHALIPUR HPS,NA,51,223,25,19.67,26.46,78.68,74.34,166,99.18,141.57,59.75,70.06,NA,NA,NA,NA,NA,NA
185,Northern Region,Uttarakhand,State Sector,KHATIMA HPS,NA,41.4,210,21,20.87,17.25,99.38,120.99,154,154.39,162.85,100.25,94.81,NA,NA,NA,NA,NA,NA
186,Northern Region,Uttarakhand,State Sector,KHODRI HPS,NA,120,390,34,27.28,53.66,80.24,50.84,298,287.71,308.86,96.55,93.15,NA,NA,NA,NA,NA,NA
187,Northern Region,Uttarakhand,State Sector,KULHAL HPS,NA,30,140,15,12.11,20.76,80.73,58.33,103,87.64,109.17,85.09,80.28,NA,NA,NA,NA,NA,NA
188,Northern Region,Uttarakhand,State Sector,MANERI BHALI-I HPS,NA,90,462,39,48.33,54.2,123.92,89.17,351,358.91,289.22,102.25,124.1,NA,NA,NA,NA,NA,NA
189,Northern Region,Uttarakhand,State Sector,MANERI BHALI-II HPS,NA,304,1310,125,92.95,115.23,74.36,80.66,1061,1003.25,1074.94,94.56,93.33,NA,NA,NA,NA,NA,NA
190,Northern Region,Uttarakhand,State Sector,RAMGANGA HPS,NA,198,260,0,0,3.34,0,0,84,126.01,206.75,150.01,60.95,NA,NA,NA,NA,NA,NA
191,Northern Region,Uttarakhand,State Sector,VYASI HPS,NA,120,353,30,20.66,51.3,68.87,40.27,277,268.26,271.7,96.84,98.73,NA,NA,NA,NA,NA,NA
192,Northern Region,Uttarakhand,State Sector,UJVNL,Hydro,1372.15,5135,448,368.46,560.38,82.25,65.75,3773,3511.15,3837.61,93.06,91.49,NA,NA,NA,NA,NA,NA
193,Northern Region,Uttarakhand,State Sector,State Sector,Hydro,1372.15,5135,448,368.46,560.38,82.25,65.75,3773,3511.15,3837.61,93.06,91.49,NA,NA,NA,NA,NA,NA
194,Northern Region,Uttarakhand,Pvt Sector,BETA CCPP,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
195,Northern Region,Uttarakhand,Pvt Sector,BIPL,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
196,Northern Region,Uttarakhand,Pvt Sector,GAMA CCPP,NA,225,50,4,0,0,0,0,30,169.69,0,565.63,0,NA,NA,NA,NA,NA,NA
197,Northern Region,Uttarakhand,Pvt Sector,GIPL,Natural Gas,225,50,4,0,0,0,0,30,169.69,0,565.63,0,NA,NA,NA,NA,NA,NA
198,Northern Region,Uttarakhand,Pvt Sector,SRAVANTHI CCPP,NA,439,200,17,0,0,0,0,118,125.12,0,106.03,0,NA,NA,NA,NA,NA,NA
199,Northern Region,Uttarakhand,Pvt Sector,SrEPL,Natural Gas,439,200,17,0,0,0,0,118,125.12,0,106.03,0,NA,NA,NA,NA,NA,NA
200,Northern Region,Uttarakhand,Pvt Sector,Pvt Sector,Natural Gas,664,250,21,0,0,0,0,148,294.81,0,199.2,0,NA,NA,NA,NA,0,NA
201,Northern Region,Uttarakhand,Pvt Sector,SHRINAGAR HPS,NA,330,1310,105,111.71,173.73,106.39,64.3,1077,1087.71,1255.95,100.99,86.6,NA,NA,NA,NA,NA,NA
202,Northern Region,Uttarakhand,Pvt Sector,AHPC (GVK),Hydro,330,1310,105,111.71,173.73,106.39,64.3,1077,1087.71,1255.95,100.99,86.6,NA,NA,NA,NA,NA,NA
203,Northern Region,Uttarakhand,Pvt Sector,VISHNU PRAYAG HPS,NA,400,1750,150,100.91,108.47,67.27,93.03,1455,1382.36,1640.68,95.01,84.26,NA,NA,NA,NA,NA,NA
204,Northern Region,Uttarakhand,Pvt Sector,JPPVL,Hydro,400,1750,150,100.91,108.47,67.27,93.03,1455,1382.36,1640.68,95.01,84.26,NA,NA,NA,NA,NA,NA
205,Northern Region,Uttarakhand,Pvt Sector,SINGOLI BHATWARI HPS,NA,99,439,33,36.65,59.14,111.06,61.97,360,325.1,379.9,90.31,85.58,NA,NA,NA,NA,NA,NA
206,Northern Region,Uttarakhand,Pvt Sector,L&T,Hydro,99,439,33,36.65,59.14,111.06,61.97,360,325.1,379.9,90.31,85.58,NA,NA,NA,NA,NA,NA
207,Northern Region,Uttarakhand,Pvt Sector,Pvt Sector,Hydro,829,3499,288,249.27,341.34,86.55,73.03,2892,2795.17,3276.53,96.65,85.31,NA,NA,NA,NA,NA,NA
208,Northern Region,Uttarakhand,Central Sector,DHAULI GANGA HPS,NA,280,1165,96,66.03,144.9,68.78,45.57,1009,837.78,1101.72,83.03,76.04,NA,NA,NA,NA,NA,NA
209,Northern Region,Uttarakhand,Central Sector,TANAKPUR HPS,NA,94.2,499,58,56.66,71.46,97.69,79.29,378,356.8,403.4,94.39,88.45,NA,NA,NA,NA,NA,NA
210,Northern Region,Uttarakhand,Central Sector,NHPC,Hydro,374.2,1664,154,122.69,216.36,79.67,56.71,1387,1194.58,1505.12,86.13,79.37,NA,NA,NA,NA,NA,NA
211,Northern Region,Uttarakhand,Central Sector,TAPOVAN VISHNUGAD HPS,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
212,Northern Region,Uttarakhand,Central Sector,NTPC Ltd.,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
213,Northern Region,Uttarakhand,Central Sector,NAITWAR MORI HPS,NA,0,215,19,0,0,0,0,170,0,0,0,0,NA,NA,NA,NA,NA,NA
214,Northern Region,Uttarakhand,Central Sector,SJVNL,Hydro,0,215,19,0,0,0,0,170,0,0,0,0,NA,NA,NA,NA,NA,NA
215,Northern Region,Uttarakhand,Central Sector,KOTESHWAR HPS,NA,400,1160,71,87.61,88.38,123.39,99.13,703,759.37,805.24,108.02,94.3,NA,NA,NA,NA,NA,NA
216,Northern Region,Uttarakhand,Central Sector,TEHRI ST-1 HPS,NA,1000,3000,217,260.29,267.2,119.95,97.41,1759,2057.26,2022.25,116.96,101.73,NA,NA,NA,NA,NA,NA
217,Northern Region,Uttarakhand,Central Sector,THDC,Hydro,1400,4160,288,347.9,355.58,120.8,97.84,2462,2816.63,2827.49,114.4,99.62,NA,NA,NA,NA,NA,NA
218,Northern Region,Uttarakhand,Central Sector,Central,Hydro,1774.2,6039,461,470.59,571.94,102.08,82.28,4019,4011.21,4332.61,99.81,92.58,NA,NA,NA,NA,NA,NA
219,Northern Region,Uttarakhand,Central Sector,Total,Natural Gas,664,250,21,0,0,0,0,148,294.81,0,199.2,0,NA,NA,NA,NA,NA,NA
220,Northern Region,Uttarakhand,Central Sector,Total,Hydro,3975.35,14673,1197,1088.32,1473.66,90.92,73.85,10684,10317.53,11446.75,96.57,90.14,NA,NA,NA,NA,NA,NA
221,Northern Region,Uttarakhand,Central Sector,Total,Uttarakhand,4639.35,14923,1218,1088.32,1473.66,89.35,73.85,10832,10612.34,11446.75,97.97,92.71,NA,NA,NA,NA,NA,NA
222,Northern Region,Uttar Pradesh,State Sector,ANPARA TPS,NA,2630,19700,1624,1539.09,1716.21,94.77,89.68,11935,10872.93,11963.86,91.1,90.88,83,78.66,87.71,88.36,80.49,88.57
223,Northern Region,Uttar Pradesh,State Sector,HARDUAGANJ TPS,NA,1265,6800,503,513.7,341.85,102.13,150.27,4021,3871.21,3850.45,96.27,100.54,53.44,54.58,36.32,61.89,59.58,59.26
224,Northern Region,Uttar Pradesh,State Sector,JAWAHARPUR STPP,NA,0,2000,165,0,0,0,0,642,0,0,0,0,33.6,0,0,18.94,0,0
225,Northern Region,Uttar Pradesh,State Sector,OBRA-C STPP,NA,0,2000,164,0,0,0,0,649,0,0,0,0,33.4,0,0,19.15,0,0
226,Northern Region,Uttar Pradesh,State Sector,OBRA TPS,NA,1000,5700,437,473.8,496.86,108.42,95.36,3498,2836.73,3140.29,81.1,90.33,58.74,63.68,61.04,68.11,55.23,55.89
227,Northern Region,Uttar Pradesh,State Sector,PANKI TPS EXT,NA,NA,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Northern Region,Uttar Pradesh,State Sector,PARICHHA TPS,NA,1140,5300,408,529.63,441.49,129.81,119.96,3265,3277.88,3295.85,100.39,99.45,48.1,62.44,52.05,55.76,55.98,56.29
229,Northern Region,Uttar Pradesh,State Sector,UPRVUNL,Coal,6035,41900,3301,3056.22,2996.41,92.58,102,24010,20858.75,22250.45,86.88,93.75,60.32,68.07,65.71,63.56,67.3,70.68
230,Northern Region,Uttar Pradesh,State Sector,State Sector,Thermal,6035,41900,3301,3056.22,2996.41,92.58,102,24010,20858.75,22250.45,86.88,93.75,60.32,68.07,65.71,63.56,67.3,70.68
231,Northern Region,Uttar Pradesh,State Sector,KHARA HPS,NA,72,334,25,27.4,47.24,109.6,58,254,197.99,242.34,77.95,81.7,NA,NA,NA,NA,NA,NA
232,Northern Region,Uttar Pradesh,State Sector,MATATILA HPS,NA,30.6,120,16,13.68,19.5,85.5,70.15,53,50.3,67.25,94.91,74.8,NA,NA,NA,NA,NA,NA
233,Northern Region,Uttar Pradesh,State Sector,OBRA HPS,NA,99,220,28,17.21,7.35,61.46,234.15,135,109.43,77.15,81.06,141.84,NA,NA,NA,NA,NA,NA
234,Northern Region,Uttar Pradesh,State Sector,RIHAND HPS,NA,300,650,80,40.18,17.58,50.23,228.57,390,249.27,159.19,63.92,156.59,NA,NA,NA,NA,NA,NA
235,Northern Region,Uttar Pradesh,State Sector,UPJVNL,Hydro,501.6,1324,149,98.47,91.67,66.09,107.42,832,606.99,545.93,72.96,111.18,NA,NA,NA,NA,NA,NA
236,Northern Region,Uttar Pradesh,State Sector,State Sector,Hydro,501.6,1324,149,98.47,91.67,66.09,107.42,832,606.99,545.93,72.96,111.18,NA,NA,NA,NA,NA,NA
237,Northern Region,Uttar Pradesh,Pvt Sector,BARKHERA TPS,NA,90,300,22,46.67,6.1,212.14,765.08,180,241.72,196.98,134.29,122.71,32.86,69.7,9.11,38.94,52.29,42.61
238,Northern Region,Uttar Pradesh,Pvt Sector,KHAMBARKHERA TPS,NA,90,280,20,41.88,6.05,209.4,692.23,169,247.5,193.09,146.45,128.18,29.87,62.54,9.04,36.56,53.54,41.77
239,Northern Region,Uttar Pradesh,Pvt Sector,KUNDARKI TPS,NA,90,325,24,38.99,6.14,162.46,635.02,196,241.35,192.39,123.14,125.45,35.84,58.23,9.17,42.4,52.21,41.62
240,Northern Region,Uttar Pradesh,Pvt Sector,MAQSOODPUR TPS,NA,90,280,20,44.81,6.1,224.05,734.59,169,256.3,193.87,151.66,132.2,29.87,66.92,9.11,36.56,55.45,41.94
241,Northern Region,Uttar Pradesh,Pvt Sector,UTRAULA TPS,NA,90,350,26,42.92,6.14,165.08,699.02,212,241.11,201.69,113.73,119.54,38.83,64.1,9.17,45.86,52.16,43.63
242,Northern Region,Uttar Pradesh,Pvt Sector,BEPL,Coal,450,1535,112,215.27,30.53,192.21,705.11,926,1227.98,978.02,132.61,125.56,33.45,64.3,9.12,40.07,53.13,42.32
243,Northern Region,Uttar Pradesh,Pvt Sector,ANPARA C TPS,NA,1200,8900,526,708.79,688.2,134.75,102.99,5123,5296.43,4775.93,103.39,110.9,58.92,79.39,77.08,83.12,85.94,77.49
244,Northern Region,Uttar Pradesh,Pvt Sector,LAPPL,Coal,1200,8900,526,708.79,688.2,134.75,102.99,5123,5296.43,4775.93,103.39,110.9,58.92,79.39,77.08,83.12,85.94,77.49
245,Northern Region,Uttar Pradesh,Pvt Sector,LALITPUR TPS,NA,1980,10500,804,1206.85,678.73,150.11,177.81,6438,7813.88,7132.36,121.37,109.56,54.58,81.92,46.07,63.31,76.84,70.14
246,Northern Region,Uttar Pradesh,Pvt Sector,LPGCL,Coal,1980,10500,804,1206.85,678.73,150.11,177.81,6438,7813.88,7132.36,121.37,109.56,54.58,81.92,46.07,63.31,76.84,70.14
247,Northern Region,Uttar Pradesh,Pvt Sector,PRAYAGRAJ TPP,NA,1980,12600,999,1026.1,1145.74,102.71,89.56,7819,7594.56,7521.5,97.13,100.97,67.82,69.65,77.78,76.89,74.68,73.96
248,Northern Region,Uttar Pradesh,Pvt Sector,PPGCL (Jaypee),Coal,1980,12600,999,1026.1,1145.74,102.71,89.56,7819,7594.56,7521.5,97.13,100.97,67.82,69.65,77.78,76.89,74.68,73.96
249,Northern Region,Uttar Pradesh,Pvt Sector,ROSA TPP Ph-I,NA,1200,6700,505,615.8,577.6,121.94,106.61,4141,4552.9,4463.55,109.95,102,56.56,68.97,64.7,67.19,73.87,72.42
250,Northern Region,Uttar Pradesh,Pvt Sector,RPSCL,Coal,1200,6700,505,615.8,577.6,121.94,106.61,4141,4552.9,4463.55,109.95,102,56.56,68.97,64.7,67.19,73.87,72.42
251,Northern Region,Uttar Pradesh,Pvt Sector,Pvt Sector,Thermal,6810,40235,2946,3772.81,3120.8,128.07,120.89,24447,26485.75,24871.36,108.34,106.49,58.15,74.46,61.6,69.9,75.73,71.11
252,Northern Region,Uttar Pradesh,Central Sector,MEJA STPP,NA,1320,7700,426,447.16,479.84,104.97,93.19,4748,4784.38,3421.37,100.77,139.84,43.38,45.53,48.86,70.03,70.57,50.47
253,Northern Region,Uttar Pradesh,Central Sector,MUNPL,Coal,1320,7700,426,447.16,479.84,104.97,93.19,4748,4784.38,3421.37,100.77,139.84,43.38,45.53,48.86,70.03,70.57,50.47
254,Northern Region,Uttar Pradesh,Central Sector,DADRI (NCTPP),NA,1820,12600,846,981.79,616.27,116.05,159.31,7489,5944.81,6369.29,79.38,93.34,62.48,72.51,45.51,80.12,63.6,68.14
255,Northern Region,Uttar Pradesh,Central Sector,RIHAND STPS,NA,3000,24600,2181,1722.32,2026.92,78.97,84.97,15080,13903.64,13914.54,92.2,99.92,97.72,77.16,90.81,97.87,90.24,90.31
256,Northern Region,Uttar Pradesh,Central Sector,SINGRAULI STPS,NA,2000,15700,1144,1100.38,1386.7,96.19,79.35,9076,9229.8,9246.62,101.69,99.82,76.88,73.95,93.19,88.36,89.85,90.02
