Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),July` 2023 - Program - Col (3),July` 2023 - Actual - Col (4),July` 2023 - Actual Same Month 2022-23 - Col (5),July` 2023 - % of Program Col. (4/3) - Col (6),July` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to July` 2023 - Program - Col (8),April` 2023 to July` 2023 - Actual - Col (9),April` 2023 to July` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to July` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to July` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - July` 2023 - Program - Col (13),Plant Load Factor (%) - July` 2023 - Actual - Col (14),Plant Load Factor (%) - July` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to July` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to July` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to July` 2023 - Actual Same Peroid 2022-23 - Col (18)
29,Northern Region,Himachal Pradesh,State Sector,KASHANG INTEGRATED HEP,NA,195,185,38,22.28,33.84,58.63,65.84,97,79.17,91.36,81.62,86.66,NA,NA,NA,NA,NA,NA
30,Northern Region,Himachal Pradesh,State Sector,SAINJ HPS,NA,100,389,75,30.92,79.13,41.23,39.07,168,149.31,176.2,88.88,84.74,NA,NA,NA,NA,NA,NA
31,Northern Region,Himachal Pradesh,State Sector,SAWRA KUDDU HPS,NA,111,300,44,40.64,52.74,92.36,77.06,108,144.24,110.92,133.56,130.04,NA,NA,NA,NA,NA,NA
32,Northern Region,Himachal Pradesh,State Sector,HPPCL,Hydro,406,874,157,93.84,165.71,59.77,56.63,373,372.72,378.48,99.92,98.48,NA,NA,NA,NA,NA,NA
33,Northern Region,Himachal Pradesh,State Sector,BASSI HPS,NA,66,304,46,44.86,47.54,97.52,94.36,153,152.8,150.1,99.87,101.8,NA,NA,NA,NA,NA,NA
34,Northern Region,Himachal Pradesh,State Sector,GIRI BATA HPS,NA,60,180,23,31.88,30.84,138.61,103.37,48,76.88,48.12,160.17,159.77,NA,NA,NA,NA,NA,NA
35,Northern Region,Himachal Pradesh,State Sector,LARJI HPS,NA,126,619,99,25.73,89.22,25.99,28.84,291,213.47,261.96,73.36,81.49,NA,NA,NA,NA,NA,NA
36,Northern Region,Himachal Pradesh,State Sector,SANJAY HPS,NA,120,550,72,67.71,90.93,94.04,74.46,235,240.6,307.55,102.38,78.23,NA,NA,NA,NA,NA,NA
37,Northern Region,Himachal Pradesh,State Sector,UHL-III HPS,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
38,Northern Region,Himachal Pradesh,State Sector,HPSEB,Hydro,372,1653,240,170.18,258.53,70.91,65.83,727,683.75,767.73,94.05,89.06,NA,NA,NA,NA,NA,NA
39,Northern Region,Himachal Pradesh,State Sector,SHANAN HPS,NA,110,475,70,74.32,78.27,106.17,94.95,245,259.41,252.13,105.88,102.89,NA,NA,NA,NA,NA,NA
40,Northern Region,Himachal Pradesh,State Sector,PSPCL,Hydro,110,475,70,74.32,78.27,106.17,94.95,245,259.41,252.13,105.88,102.89,NA,NA,NA,NA,NA,NA
41,Northern Region,Himachal Pradesh,State Sector,State Sector,Hydro,888,3002,467,338.34,502.51,72.45,67.33,1345,1315.88,1398.34,97.83,94.1,NA,NA,NA,NA,NA,NA
