Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),July` 2023 - Program - Col (3),July` 2023 - Actual - Col (4),July` 2023 - Actual Same Month 2022-23 - Col (5),July` 2023 - % of Program Col. (4/3) - Col (6),July` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to July` 2023 - Program - Col (8),April` 2023 to July` 2023 - Actual - Col (9),April` 2023 to July` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to July` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to July` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - July` 2023 - Program - Col (13),Plant Load Factor (%) - July` 2023 - Actual - Col (14),Plant Load Factor (%) - July` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to July` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to July` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to July` 2023 - Actual Same Peroid 2022-23 - Col (18)
115,Northern Region,Punjab,State Sector,ANANDPUR SAHIB-II HPS,NA,67,265,37,40.7,30.58,110,133.09,123,78.98,93,64.21,84.92,NA,NA,NA,NA,NA,NA
116,Northern Region,Punjab,State Sector,MUKERIAN-I HPS,NA,45,234,24,23.95,91.67,99.79,26.13,48,51.99,292.27,108.31,17.79,NA,NA,NA,NA,NA,NA
117,Northern Region,Punjab,State Sector,MUKERIAN-II HPS,NA,45,234,24,26.3,0,109.58,0,48,54.35,0,113.23,0,NA,NA,NA,NA,NA,NA
118,Northern Region,Punjab,State Sector,MUKERIAN-III HPS,NA,58.5,306,32,33.09,0,103.41,0,62,69.27,0,111.73,0,NA,NA,NA,NA,NA,NA
119,Northern Region,Punjab,State Sector,MUKERIAN-IV HPS,NA,58.5,306,32,30.78,0,96.19,0,62,67.16,0,108.32,0,NA,NA,NA,NA,NA,NA
120,Northern Region,Punjab,State Sector,RANJIT SAGAR HPS,NA,600,1580,215,387.37,138.13,180.17,280.44,675,868.67,490.47,128.69,177.11,NA,NA,NA,NA,NA,NA
121,Northern Region,Punjab,State Sector,PSPCL,Hydro,941,3190,400,582.05,290.92,145.51,200.07,1141,1268.63,958.99,111.19,132.29,NA,NA,NA,NA,NA,NA
122,Northern Region,Punjab,State Sector,State Sector,Hydro,941,3190,400,582.05,290.92,145.51,200.07,1141,1268.63,958.99,111.19,132.29,NA,NA,NA,NA,NA,NA
123,Northern Region,Punjab,State Sector,GOINDWAL SAHIB TPP,NA,540,3000,224,217.21,187.03,96.97,116.14,1078,839.93,659.81,77.92,127.3,55.75,54.06,46.55,68.18,53.12,41.73
124,Northern Region,Punjab,State Sector,GPGSL (GVK),Coal,540,3000,224,217.21,187.03,96.97,116.14,1078,839.93,659.81,77.92,127.3,55.75,54.06,46.55,68.18,53.12,41.73
125,Northern Region,Punjab,Pvt Sector,RAJPURA TPP,NA,1400,10400,924,826.25,901.8,89.42,91.62,3745,3549.28,3811.63,94.77,93.12,88.71,79.33,86.58,91.36,86.58,92.98
126,Northern Region,Punjab,Pvt Sector,NPL,Coal,1400,10400,924,826.25,901.8,89.42,91.62,3745,3549.28,3811.63,94.77,93.12,88.71,79.33,86.58,91.36,86.58,92.98
127,Northern Region,Punjab,Pvt Sector,TALWANDI SABO TPP,NA,1980,12400,990,855.42,1024.94,86.41,83.46,4498,3898.17,3811.15,86.66,102.28,67.2,58.07,69.58,77.59,67.24,65.74
128,Northern Region,Punjab,Pvt Sector,TSPL,Coal,1980,12400,990,855.42,1024.94,86.41,83.46,4498,3898.17,3811.15,86.66,102.28,67.2,58.07,69.58,77.59,67.24,65.74
129,Northern Region,Punjab,Pvt Sector,Pvt Sector,Thermal,3920,25800,2138,1898.88,2113.77,88.82,89.83,9321,8287.38,8282.59,88.91,100.06,73.31,65.11,72.48,81.21,72.2,72.16
130,Northern Region,Punjab,Central Sector,GANGUWAL HPS,NA,77.65,500,42,52.88,53.37,125.9,99.08,166,199.69,197.9,120.3,100.9,NA,NA,NA,NA,NA,NA
131,Northern Region,Punjab,Central Sector,KOTLA HPS,NA,77.65,500,42,53.23,54.98,126.74,96.82,166,199.77,198.7,120.34,100.54,NA,NA,NA,NA,NA,NA
132,Northern Region,Punjab,Central Sector,BBMB,Hydro,155.3,1000,84,106.11,108.35,126.32,97.93,332,399.46,396.6,120.32,100.72,NA,NA,NA,NA,NA,NA
133,Northern Region,Punjab,Central Sector,Central,Hydro,155.3,1000,84,106.11,108.35,126.32,97.93,332,399.46,396.6,120.32,100.72,NA,NA,NA,NA,NA,NA
134,Northern Region,Punjab,Central Sector,Total,Thermal,5680,32150,2646,2597.3,2577.82,98.16,100.76,11753,10800.83,10936.49,91.9,98.76,62.61,61.46,61,70.67,64.94,65.76
135,Northern Region,Punjab,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
136,Northern Region,Punjab,Central Sector,Total,Hydro,1096.3,4190,484,688.16,399.27,142.18,172.35,1473,1668.09,1355.59,113.24,123.05,NA,NA,NA,NA,NA,NA
137,Northern Region,Punjab,Central Sector,Total,Punjab,6776.3,36340,3130,3285.46,2977.09,104.97,110.36,13226,12468.92,12292.08,94.28,101.44,NA,NA,NA,NA,NA,NA
138,Northern Region,Rajasthan,State Sector,CHHABRA-II TPP,NA,1320,8400,500,230.97,625.93,46.19,36.9,2895,2022.52,2841.12,69.86,71.19,50.91,23.52,63.74,74.9,52.33,73.51
139,Northern Region,Rajasthan,State Sector,CHHABRA-I PH-1 TPP,NA,500,3400,185,317.18,125.87,171.45,251.99,1123,1141.77,1061.64,101.67,107.55,49.73,85.26,33.84,76.71,77.99,72.52
140,Northern Region,Rajasthan,State Sector,CHHABRA-I PH-2 TPP,NA,500,3000,262,112.08,163.52,42.78,68.54,978,639.32,661.8,65.37,96.6,70.43,30.13,43.96,66.8,43.67,45.2
141,Northern Region,Rajasthan,State Sector,GIRAL TPS,NA,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Northern Region,Rajasthan,State Sector,KALISINDH TPS,NA,1200,7000,596,426.76,738.44,71.6,57.79,2710,2330.68,1904.64,86,122.37,66.76,47.8,82.71,77.13,66.33,54.21
143,Northern Region,Rajasthan,State Sector,KOTA TPS,NA,1240,8000,587,720.8,494.24,122.79,145.84,2842,2848.18,2596.03,100.22,109.71,63.63,78.13,53.57,78.28,78.45,71.5
144,Northern Region,Rajasthan,State Sector,SURATGARH STPS,NA,1320,6000,492,590.05,300.6,119.93,196.29,2095,2300.83,1323.78,109.82,173.81,50.1,60.08,30.61,54.2,59.53,34.25
145,Northern Region,Rajasthan,State Sector,SURATGARH TPS,NA,1500,6100,480,798.53,448.53,166.36,178.03,2301,2430.21,2472.18,105.62,98.3,43.01,71.55,40.19,52.39,55.33,56.29
146,Northern Region,Rajasthan,State Sector,RRVUNL,Coal,7830,41900,3102,3196.37,2897.13,103.04,110.33,14944,13713.51,12861.19,91.77,106.63,53.25,54.87,49.73,65.18,59.82,56.1
147,Northern Region,Rajasthan,State Sector,State Sector,Thermal,7830,41900,3102,3196.37,2897.13,103.04,110.33,14944,13713.51,12861.19,91.77,106.63,53.25,54.87,49.73,65.18,59.82,56.1
148,Northern Region,Rajasthan,State Sector,DHOLPUR CCPP,NA,330,150,12,0,0,0,0,51,0,0,0,0,NA,NA,NA,NA,NA,NA
149,Northern Region,Rajasthan,State Sector,RAMGARH CCPP,NA,273.5,1050,82,81.73,129.08,99.67,63.32,397,373.77,420.6,94.15,88.87,NA,NA,NA,NA,NA,NA
150,Northern Region,Rajasthan,State Sector,RRVUNL,Natural Gas,603.5,1200,94,81.73,129.08,86.95,63.32,448,373.77,420.6,83.43,88.87,NA,NA,NA,NA,NA,NA
151,Northern Region,Rajasthan,State Sector,State Sector,Natural Gas,603.5,1200,94,81.73,129.08,86.95,63.32,448,373.77,420.6,83.43,88.87,NA,NA,NA,NA,NA,NA
152,Northern Region,Rajasthan,State Sector,JAWAHAR SAGAR HPS,NA,99,200,4,32.89,17.62,822.25,186.66,4,37.51,40.76,937.75,92.03,NA,NA,NA,NA,NA,NA
153,Northern Region,Rajasthan,State Sector,MAHI BAJAJ-I HPS,NA,50,130,0,0.11,0.1,0,110,4,0.11,5.15,2.75,2.14,NA,NA,NA,NA,NA,NA
154,Northern Region,Rajasthan,State Sector,MAHI BAJAJ-II HPS,NA,90,30,0,0,1.07,0,0,2,0,4.42,0,0,NA,NA,NA,NA,NA,NA
155,Northern Region,Rajasthan,State Sector,R P SAGAR HPS,NA,172,312,2,45.02,1.18,2251,3815.25,2,49.37,34.83,2468.5,141.75,NA,NA,NA,NA,NA,NA
156,Northern Region,Rajasthan,State Sector,RRVUNL,Hydro,411,672,6,78.02,19.97,1300.33,390.69,12,86.99,85.16,724.92,102.15,NA,NA,NA,NA,NA,NA
157,Northern Region,Rajasthan,State Sector,State Sector,Hydro,411,672,6,78.02,19.97,1300.33,390.69,12,86.99,85.16,724.92,102.15,NA,NA,NA,NA,NA,NA
158,Northern Region,Rajasthan,Pvt Sector,KAWAI TPS,NA,1320,9300,770,505.12,811.72,65.6,62.23,3321,2459.25,3232.52,74.05,76.08,78.41,51.43,82.65,85.93,63.63,83.64
159,Northern Region,Rajasthan,Pvt Sector,APL,Coal,1320,9300,770,505.12,811.72,65.6,62.23,3321,2459.25,3232.52,74.05,76.08,78.41,51.43,82.65,85.93,63.63,83.64
160,Northern Region,Rajasthan,Pvt Sector,JALIPA KAPURDI TPP,NA,1080,7200,552,574.43,621.78,104.06,92.38,2464,2161.03,2348.13,87.7,92.03,68.7,71.49,77.38,77.92,68.34,74.26
161,Northern Region,Rajasthan,Pvt Sector,JSWBL,Coal,1080,7200,552,574.43,621.78,104.06,92.38,2464,2161.03,2348.13,87.7,92.03,68.7,71.49,77.38,77.92,68.34,74.26
162,Northern Region,Rajasthan,Pvt Sector,Pvt Sector,Thermal,2400,16500,1322,1079.55,1433.5,81.66,75.31,5785,4620.28,5580.65,79.87,82.79,74.04,60.46,80.28,82.32,65.75,79.41
163,Northern Region,Rajasthan,Central Sector,BARSINGSAR LIGNITE,NA,250,1500,116,112.68,112.15,97.14,100.47,542,467.92,445.7,86.33,104.99,62.37,60.58,60.3,74.04,63.92,60.89
164,Northern Region,Rajasthan,Central Sector,NLC,Coal,250,1500,116,112.68,112.15,97.14,100.47,542,467.92,445.7,86.33,104.99,62.37,60.58,60.3,74.04,63.92,60.89
165,Northern Region,Rajasthan,Central Sector,CENTRAL,Thermal,250,1500,116,112.68,112.15,97.14,100.47,542,467.92,445.7,86.33,104.99,62.37,60.58,60.3,74.04,63.92,60.89
166,Northern Region,Rajasthan,Central Sector,ANTA CCPP,NA,419.33,140,11,26.75,6.16,243.18,434.25,50,132.75,56.32,265.5,235.71,NA,NA,NA,NA,NA,NA
167,Northern Region,Rajasthan,Central Sector,NTPC Ltd.,Natural Gas,419.33,140,11,26.75,6.16,243.18,434.25,50,132.75,56.32,265.5,235.71,NA,NA,NA,NA,NA,NA
168,Northern Region,Rajasthan,Central Sector,CENTRAL,Natural Gas,419.33,140,11,26.75,6.16,243.18,434.25,50,132.75,56.32,265.5,235.71,NA,NA,NA,NA,NA,NA
169,Northern Region,Rajasthan,Central Sector,DAE (RAJASTHAN),NA,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Northern Region,Rajasthan,Central Sector,DAE,Nuclear,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Northern Region,Rajasthan,Central Sector,RAJASTHAN A.P.S.,NA,1080,6141,487,581.02,623.04,119.31,93.26,2160,2400.08,2553.45,111.11,93.99,60.61,72.31,77.54,68.31,75.9,80.75
172,Northern Region,Rajasthan,Central Sector,NPCIL,Nuclear,1080,6141,487,581.02,623.04,119.31,93.26,2160,2400.08,2553.45,111.11,93.99,60.61,72.31,77.54,68.31,75.9,80.75
173,Northern Region,Rajasthan,Central Sector,Central,Nuclear,1180,6141,487,581.02,623.04,119.31,93.26,2160,2400.08,2553.45,111.11,93.99,60.61,66.18,70.97,68.31,69.47,73.91
174,Northern Region,Rajasthan,Central Sector,Total,Thermal,10480,59900,4540,4388.6,4442.78,96.67,98.78,21271,18801.71,18887.54,88.39,99.55,58.23,56.28,56.98,69.32,61.27,61.55
175,Northern Region,Rajasthan,Central Sector,Total,Nuclear,1180,6141,487,581.02,623.04,119.31,93.26,2160,2400.08,2553.45,111.11,93.99,60.61,66.18,70.97,68.31,69.47,73.91
176,Northern Region,Rajasthan,Central Sector,Total,Natural Gas,1022.83,1340,105,108.48,135.24,103.31,80.21,498,506.52,476.92,101.71,106.21,NA,NA,NA,NA,NA,NA
177,Northern Region,Rajasthan,Central Sector,Total,Hydro,411,672,6,78.02,19.97,1300.33,390.69,12,86.99,85.16,724.92,102.15,NA,NA,NA,NA,NA,NA
178,Northern Region,Rajasthan,Central Sector,Total,Rajasthan,13093.83,68053,5138,5156.12,5221.03,100.35,98.76,23941,21795.3,22003.07,91.04,99.06,NA,NA,NA,NA,NA,NA
179,Northern Region,Uttarakhand,State Sector,CHIBRO (YAMUNA) HPS,NA,240,857,111,85.67,118.47,77.18,72.31,330,309.66,283.94,93.84,109.06,NA,NA,NA,NA,NA,NA
180,Northern Region,Uttarakhand,State Sector,CHILLA HPS,NA,144,780,67,63.36,61.45,94.57,103.11,268,236.04,271.9,88.07,86.81,NA,NA,NA,NA,NA,NA
181,Northern Region,Uttarakhand,State Sector,DHAKRANI HPS,NA,33.75,150,19,10.63,14.07,55.95,75.55,58,33.92,41.95,58.48,80.86,NA,NA,NA,NA,NA,NA
182,Northern Region,Uttarakhand,State Sector,DHALIPUR HPS,NA,51,223,30,14.83,22.73,49.43,65.24,89,32.97,71.56,37.04,46.07,NA,NA,NA,NA,NA,NA
183,Northern Region,Uttarakhand,State Sector,KHATIMA HPS,NA,41.4,210,24,28.29,27.08,117.88,104.47,82,77.68,96.25,94.73,80.71,NA,NA,NA,NA,NA,NA
184,Northern Region,Uttarakhand,State Sector,KHODRI HPS,NA,120,390,50,38.21,55.28,76.42,69.12,151,149.27,138.71,98.85,107.61,NA,NA,NA,NA,NA,NA
185,Northern Region,Uttarakhand,State Sector,KULHAL HPS,NA,30,140,15,14.33,19,95.53,75.42,52,40.32,51.41,77.54,78.43,NA,NA,NA,NA,NA,NA
186,Northern Region,Uttarakhand,State Sector,MANERI BHALI-I HPS,NA,90,462,45,51.38,6.53,114.18,786.83,204,175.47,143.72,86.01,122.09,NA,NA,NA,NA,NA,NA
187,Northern Region,Uttarakhand,State Sector,MANERI BHALI-II HPS,NA,304,1310,193,194.94,194.09,101.01,100.44,556,502.63,575.95,90.4,87.27,NA,NA,NA,NA,NA,NA
188,Northern Region,Uttarakhand,State Sector,RAMGANGA HPS,NA,198,260,13,0,0,0,0,58,126.01,203.41,217.26,61.95,NA,NA,NA,NA,NA,NA
189,Northern Region,Uttarakhand,State Sector,VYASI HPS,NA,120,353,59,67.62,65.84,114.61,102.7,127,128.88,74.63,101.48,172.69,NA,NA,NA,NA,NA,NA
190,Northern Region,Uttarakhand,State Sector,UJVNL,Hydro,1372.15,5135,626,569.26,584.54,90.94,97.39,1975,1812.85,1953.43,91.79,92.8,NA,NA,NA,NA,NA,NA
191,Northern Region,Uttarakhand,State Sector,State Sector,Hydro,1372.15,5135,626,569.26,584.54,90.94,97.39,1975,1812.85,1953.43,91.79,92.8,NA,NA,NA,NA,NA,NA
192,Northern Region,Uttarakhand,Pvt Sector,BETA CCPP,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
193,Northern Region,Uttarakhand,Pvt Sector,BIPL,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
194,Northern Region,Uttarakhand,Pvt Sector,GAMA CCPP,NA,225,50,4,6.24,0,156,0,18,169.69,0,942.72,0,NA,NA,NA,NA,NA,NA
195,Northern Region,Uttarakhand,Pvt Sector,GIPL,Natural Gas,225,50,4,6.24,0,156,0,18,169.69,0,942.72,0,NA,NA,NA,NA,NA,NA
196,Northern Region,Uttarakhand,Pvt Sector,SRAVANTHI CCPP,NA,439,200,17,0,0,0,0,69,125.12,0,181.33,0,NA,NA,NA,NA,NA,NA
197,Northern Region,Uttarakhand,Pvt Sector,SrEPL,Natural Gas,439,200,17,0,0,0,0,69,125.12,0,181.33,0,NA,NA,NA,NA,NA,NA
198,Northern Region,Uttarakhand,Pvt Sector,Pvt Sector,Natural Gas,664,250,21,6.24,0,29.71,0,87,294.81,0,338.86,0,NA,NA,NA,NA,0,NA
199,Northern Region,Uttarakhand,Pvt Sector,SHRINAGAR HPS,NA,330,1310,235,234.22,246.15,99.67,95.15,517,508.83,597.24,98.42,85.2,NA,NA,NA,NA,NA,NA
200,Northern Region,Uttarakhand,Pvt Sector,AHPC (GVK),Hydro,330,1310,235,234.22,246.15,99.67,95.15,517,508.83,597.24,98.42,85.2,NA,NA,NA,NA,NA,NA
201,Northern Region,Uttarakhand,Pvt Sector,VISHNU PRAYAG HPS,NA,400,1750,259,297.61,310.64,114.91,95.81,786,695.39,949.29,88.47,73.25,NA,NA,NA,NA,NA,NA
202,Northern Region,Uttarakhand,Pvt Sector,JPPVL,Hydro,400,1750,259,297.61,310.64,114.91,95.81,786,695.39,949.29,88.47,73.25,NA,NA,NA,NA,NA,NA
203,Northern Region,Uttarakhand,Pvt Sector,SINGOLI BHATWARI HPS,NA,99,439,77,77.35,56.89,100.45,135.96,179,180.88,172.4,101.05,104.92,NA,NA,NA,NA,NA,NA
204,Northern Region,Uttarakhand,Pvt Sector,L&T,Hydro,99,439,77,77.35,56.89,100.45,135.96,179,180.88,172.4,101.05,104.92,NA,NA,NA,NA,NA,NA
205,Northern Region,Uttarakhand,Pvt Sector,Pvt Sector,Hydro,829,3499,571,609.18,613.68,106.69,99.27,1482,1385.1,1718.93,93.46,80.58,NA,NA,NA,NA,NA,NA
206,Northern Region,Uttarakhand,Central Sector,DHAULI GANGA HPS,NA,280,1165,207,199.67,199.59,96.46,100.04,530,451.13,560.38,85.12,80.5,NA,NA,NA,NA,NA,NA
207,Northern Region,Uttarakhand,Central Sector,TANAKPUR HPS,NA,94.2,499,66,68.2,70.11,103.33,97.28,183,157.44,192.08,86.03,81.97,NA,NA,NA,NA,NA,NA
208,Northern Region,Uttarakhand,Central Sector,NHPC,Hydro,374.2,1664,273,267.87,269.7,98.12,99.32,713,608.57,752.46,85.35,80.88,NA,NA,NA,NA,NA,NA
209,Northern Region,Uttarakhand,Central Sector,TAPOVAN VISHNUGAD HPS,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
210,Northern Region,Uttarakhand,Central Sector,NTPC Ltd.,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
211,Northern Region,Uttarakhand,Central Sector,NAITWAR MORI HPS,NA,0,215,32,0,0,0,0,80,0,0,0,0,NA,NA,NA,NA,NA,NA
212,Northern Region,Uttarakhand,Central Sector,SJVNL,Hydro,0,215,32,0,0,0,0,80,0,0,0,0,NA,NA,NA,NA,NA,NA
213,Northern Region,Uttarakhand,Central Sector,KOTESHWAR HPS,NA,400,1160,87,118.47,90.66,136.17,130.68,361,348.7,387.1,96.59,90.08,NA,NA,NA,NA,NA,NA
214,Northern Region,Uttarakhand,Central Sector,TEHRI ST-1 HPS,NA,1000,3000,153,336.73,206.92,220.08,162.73,698,861.23,786.91,123.39,109.44,NA,NA,NA,NA,NA,NA
215,Northern Region,Uttarakhand,Central Sector,THDC,Hydro,1400,4160,240,455.2,297.58,189.67,152.97,1059,1209.93,1174.01,114.25,103.06,NA,NA,NA,NA,NA,NA
216,Northern Region,Uttarakhand,Central Sector,Central,Hydro,1774.2,6039,545,723.07,567.28,132.67,127.46,1852,1818.5,1926.47,98.19,94.4,NA,NA,NA,NA,NA,NA
217,Northern Region,Uttarakhand,Central Sector,Total,Natural Gas,664,250,21,6.24,0,29.71,0,87,294.81,0,338.86,0,NA,NA,NA,NA,NA,NA
218,Northern Region,Uttarakhand,Central Sector,Total,Hydro,3975.35,14673,1742,1901.51,1765.5,109.16,107.7,5309,5016.45,5598.83,94.49,89.6,NA,NA,NA,NA,NA,NA
219,Northern Region,Uttarakhand,Central Sector,Total,Uttarakhand,4639.35,14923,1763,1907.75,1765.5,108.21,108.06,5396,5311.26,5598.83,98.43,94.86,NA,NA,NA,NA,NA,NA
220,Northern Region,Uttar Pradesh,State Sector,ANPARA TPS,NA,2630,19700,1663,1639.99,1729.64,98.62,94.82,6939,6022.59,6929.37,86.79,86.91,84.99,83.81,88.39,90.11,78.21,89.98
221,Northern Region,Uttar Pradesh,State Sector,HARDUAGANJ TPS,NA,1265,6800,517,607.64,600.43,117.53,101.2,2443,2101.58,2539.48,86.02,82.76,54.93,64.56,63.8,65.96,56.74,68.56
222,Northern Region,Uttar Pradesh,State Sector,JAWAHARPUR STPP,NA,0,2000,154,0,0,0,0,154,0,0,0,0,31.36,0,0,7.97,0,0
223,Northern Region,Uttar Pradesh,State Sector,OBRA-C STPP,NA,0,2000,160,0,0,0,0,160,0,0,0,0,32.58,0,0,8.28,0,0
224,Northern Region,Uttar Pradesh,State Sector,OBRA TPS,NA,1000,5700,449,411.67,452.67,91.69,90.94,2117,1441.86,1824.15,68.11,79.04,60.35,55.33,55.61,72.3,49.24,56.95
225,Northern Region,Uttar Pradesh,State Sector,PANKI TPS EXT,NA,NA,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Northern Region,Uttar Pradesh,State Sector,PARICHHA TPS,NA,1140,5300,417,489.8,436.04,117.46,112.33,1986,1702.67,1899.18,85.73,89.65,49.17,57.75,51.41,59.5,51.01,56.9
227,Northern Region,Uttar Pradesh,State Sector,UPRVUNL,Coal,6035,41900,3360,3149.1,3218.78,93.72,97.84,13799,11268.7,13192.18,81.66,85.42,61.4,70.14,70.59,64.08,63.77,73.51
228,Northern Region,Uttar Pradesh,State Sector,State Sector,Thermal,6035,41900,3360,3149.1,3218.78,93.72,97.84,13799,11268.7,13192.18,81.66,85.42,61.4,70.14,70.59,64.08,63.77,73.51
229,Northern Region,Uttar Pradesh,State Sector,KHARA HPS,NA,72,334,42,34.51,42.4,82.17,81.39,147,91.82,110.54,62.46,83.06,NA,NA,NA,NA,NA,NA
230,Northern Region,Uttar Pradesh,State Sector,MATATILA HPS,NA,30.6,120,7,7,6.04,100,115.89,18,12.61,13.21,70.06,95.46,NA,NA,NA,NA,NA,NA
231,Northern Region,Uttar Pradesh,State Sector,OBRA HPS,NA,99,220,12,26.63,4.45,221.92,598.43,47,53.65,42.19,114.15,127.16,NA,NA,NA,NA,NA,NA
232,Northern Region,Uttar Pradesh,State Sector,RIHAND HPS,NA,300,650,50,58.41,7.54,116.82,774.67,160,120.51,88.96,75.32,135.47,NA,NA,NA,NA,NA,NA
233,Northern Region,Uttar Pradesh,State Sector,UPJVNL,Hydro,501.6,1324,111,126.55,60.43,114.01,209.42,372,278.59,254.9,74.89,109.29,NA,NA,NA,NA,NA,NA
234,Northern Region,Uttar Pradesh,State Sector,State Sector,Hydro,501.6,1324,111,126.55,60.43,114.01,209.42,372,278.59,254.9,74.89,109.29,NA,NA,NA,NA,NA,NA
235,Northern Region,Uttar Pradesh,Pvt Sector,BARKHERA TPS,NA,90,300,24,33.49,43.39,139.54,77.18,112,111.08,126.22,99.18,88.01,35.84,50.01,64.8,42.5,42.15,47.9
236,Northern Region,Uttar Pradesh,Pvt Sector,KHAMBARKHERA TPS,NA,90,280,22,36.93,43.49,167.86,84.92,106,113.34,124.77,106.92,90.84,32.86,55.15,64.95,40.22,43.01,47.35
237,Northern Region,Uttar Pradesh,Pvt Sector,KUNDARKI TPS,NA,90,325,26,33.31,39.58,128.12,84.16,122,111.44,138.66,91.34,80.37,38.83,49.75,59.11,46.3,42.29,52.62
238,Northern Region,Uttar Pradesh,Pvt Sector,MAQSOODPUR TPS,NA,90,280,22,36.95,40.25,167.95,91.8,106,120.48,126.26,113.66,95.42,32.86,55.18,60.11,40.22,45.72,47.91
239,Northern Region,Uttar Pradesh,Pvt Sector,UTRAULA TPS,NA,90,350,28,32.19,43.63,114.96,73.78,132,105.85,132.48,80.19,79.9,41.82,48.07,65.16,50.09,40.17,50.27
240,Northern Region,Uttar Pradesh,Pvt Sector,BEPL,Coal,450,1535,122,172.87,210.34,141.7,82.19,578,562.19,648.39,97.26,86.71,36.44,51.63,62.83,43.87,42.67,49.21
241,Northern Region,Uttar Pradesh,Pvt Sector,ANPARA C TPS,NA,1200,8900,739,748.33,703.7,101.26,106.34,3101,3059.99,2760.2,98.68,110.86,82.77,83.82,78.82,88.26,87.09,78.56
242,Northern Region,Uttar Pradesh,Pvt Sector,LAPPL,Coal,1200,8900,739,748.33,703.7,101.26,106.34,3101,3059.99,2760.2,98.68,110.86,82.77,83.82,78.82,88.26,87.09,78.56
243,Northern Region,Uttar Pradesh,Pvt Sector,LALITPUR TPS,NA,1980,10500,831,912.77,1098.37,109.84,83.1,3918,4323.96,4401.16,110.36,98.25,56.41,61.96,74.56,67.58,74.58,75.92
244,Northern Region,Uttar Pradesh,Pvt Sector,LPGCL,Coal,1980,10500,831,912.77,1098.37,109.84,83.1,3918,4323.96,4401.16,110.36,98.25,56.41,61.96,74.56,67.58,74.58,75.92
245,Northern Region,Uttar Pradesh,Pvt Sector,PRAYAGRAJ TPP,NA,1980,12600,1027,1115.14,1245.52,108.58,89.53,4681,4350.04,4268.79,92.93,101.9,69.72,75.7,84.55,80.74,75.03,73.63
246,Northern Region,Uttar Pradesh,Pvt Sector,PPGCL (Jaypee),Coal,1980,12600,1027,1115.14,1245.52,108.58,89.53,4681,4350.04,4268.79,92.93,101.9,69.72,75.7,84.55,80.74,75.03,73.63
247,Northern Region,Uttar Pradesh,Pvt Sector,ROSA TPP Ph-I,NA,1200,6700,535,676.7,643.2,126.49,105.21,2530,2650.1,2591.35,104.75,102.27,59.92,75.8,72.04,72.01,75.42,73.75
248,Northern Region,Uttar Pradesh,Pvt Sector,RPSCL,Coal,1200,6700,535,676.7,643.2,126.49,105.21,2530,2650.1,2591.35,104.75,102.27,59.92,75.8,72.04,72.01,75.42,73.75
249,Northern Region,Uttar Pradesh,Pvt Sector,Pvt Sector,Thermal,6810,40235,3254,3625.81,3901.13,111.43,92.94,14808,14946.28,14669.89,100.93,101.88,64.22,71.56,77,74.26,74.96,73.57
250,Northern Region,Uttar Pradesh,Central Sector,MEJA STPP,NA,1320,7700,668,771.15,276.89,115.44,278.5,2942,2937.48,1549.11,99.85,189.62,68.02,78.52,28.19,76.12,76,40.08
251,Northern Region,Uttar Pradesh,Central Sector,MUNPL,Coal,1320,7700,668,771.15,276.89,115.44,278.5,2942,2937.48,1549.11,99.85,189.62,68.02,78.52,28.19,76.12,76,40.08
252,Northern Region,Uttar Pradesh,Central Sector,DADRI (NCTPP),NA,1820,12600,1016,762.96,891.48,75.09,85.58,4534,3160.74,4013.02,69.71,78.76,75.03,56.35,65.84,85.08,59.31,75.31
253,Northern Region,Uttar Pradesh,Central Sector,RIHAND STPS,NA,3000,24600,2183,2110.92,2075.45,96.7,101.71,8605,8146.52,8197.48,94.67,99.38,97.8,94.58,92.99,97.96,92.74,93.32
254,Northern Region,Uttar Pradesh,Central Sector,SINGRAULI STPS,NA,2000,15700,1342,1380.46,1398.28,102.87,98.73,5433,5436.3,5279.08,100.06,102.98,90.19,92.77,93.97,92.78,92.83,90.15
