Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to March 2024 - Col (2),December` 2023 - Program - Col (3),December` 2023 - Actual - Col (4),December` 2023 - Actual Same Month 2022-23 - Col (5),December` 2023 - % of Program Col. (4/3) - Col (6),December` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to December` 2023 - Program - Col (8),April` 2023 to December` 2023 - Actual - Col (9),April` 2023 to December` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to December` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to December` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - December` 2023 - Program - Col (13),Plant Load Factor (%) - December` 2023 - Actual - Col (14),Plant Load Factor (%) - December` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to December` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to December` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to December` 2023 - Actual Same Peroid 2022-23 - Col (18)
126,Northern Region,Punjab,Pvt Sector,NPL,Coal,1400,10400,605,724.47,773.01,119.75,93.72,7968,7800.02,7917.86,97.89,98.51,58.08,69.55,74.21,86.23,84.42,85.69
127,Northern Region,Punjab,Pvt Sector,TALWANDI SABO TPP,NA,1980,12400,1080,813.37,1065.52,75.31,76.34,9384,8708.74,8693.16,92.8,100.18,73.31,55.21,72.33,71.81,66.64,66.52
128,Northern Region,Punjab,Pvt Sector,TSPL,Coal,1980,12400,1080,813.37,1065.52,75.31,76.34,9384,8708.74,8693.16,92.8,100.18,73.31,55.21,72.33,71.81,66.64,66.52
129,Northern Region,Punjab,Pvt Sector,Pvt Sector,Thermal,3920,25800,1927,1777.47,2027.65,92.24,87.66,19612,18317.91,18025.12,93.4,101.62,66.07,60.95,69.52,75.8,70.8,69.67
130,Northern Region,Punjab,Central Sector,GANGUWAL HPS,NA,77.65,500,41,38.29,55.14,93.39,69.44,375,450.89,449.94,120.24,100.21,NA,NA,NA,NA,NA,NA
131,Northern Region,Punjab,Central Sector,KOTLA HPS,NA,77.65,500,41,37.91,55.83,92.46,67.9,375,455.73,452.68,121.53,100.67,NA,NA,NA,NA,NA,NA
132,Northern Region,Punjab,Central Sector,BBMB,Hydro,155.3,1000,82,76.2,110.97,92.93,68.67,750,906.62,902.62,120.88,100.44,NA,NA,NA,NA,NA,NA
133,Northern Region,Punjab,Central Sector,Central,Hydro,155.3,1000,82,76.2,110.97,92.93,68.67,750,906.62,902.62,120.88,100.44,NA,NA,NA,NA,NA,NA
134,Northern Region,Punjab,Central Sector,Total,Thermal,5680,32150,2407,2584.73,2774.28,107.38,93.17,24502,24566.85,23448.05,100.26,104.77,56.96,61.16,65.65,65.36,65.53,62.55
135,Northern Region,Punjab,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
136,Northern Region,Punjab,Central Sector,Total,Hydro,1096.3,4190,326,382.23,378.7,117.25,100.93,3338,3875.17,3443.48,116.09,112.54,NA,NA,NA,NA,NA,NA
137,Northern Region,Punjab,Central Sector,Total,Punjab,6776.3,36340,2733,2966.96,3152.98,108.56,94.1,27840,28442.02,26891.53,102.16,105.77,NA,NA,NA,NA,NA,NA
138,Northern Region,Rajasthan,State Sector,CHHABRA-II TPP,NA,1320,8400,762,687.79,576.82,90.26,119.24,6096,5157.01,5638.68,84.6,91.46,77.59,70.03,58.73,69.97,59.19,64.72
139,Northern Region,Rajasthan,State Sector,CHHABRA-I PH-1 TPP,NA,500,3400,306,310.44,310.4,101.45,100.01,2481,2556.45,2437.15,103.04,104.9,82.26,83.45,83.44,75.18,77.47,73.85
140,Northern Region,Rajasthan,State Sector,CHHABRA-I PH-2 TPP,NA,500,3000,277,306.69,266.34,110.72,115.15,2172,1712.94,1586.39,78.86,107.98,74.46,82.44,71.6,65.82,51.91,48.07
141,Northern Region,Rajasthan,State Sector,GIRAL TPS,NA,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Northern Region,Rajasthan,State Sector,KALISINDH TPS,NA,1200,7000,645,340.09,675.97,52.73,50.31,5600,5268.74,4335.09,94.08,121.54,72.24,38.09,75.71,70.71,66.52,54.74
143,Northern Region,Rajasthan,State Sector,KOTA TPS,NA,1240,8000,637,638.66,679.61,100.26,93.97,5990,6220.61,5862.28,103.85,106.11,69.05,69.23,73.67,73.19,76.01,71.63
144,Northern Region,Rajasthan,State Sector,SURATGARH STPS,NA,1320,6000,496,566.82,434.91,114.28,130.33,4426,5245.39,3114.84,118.51,168.4,50.51,57.72,44.28,50.8,60.21,35.75
145,Northern Region,Rajasthan,State Sector,SURATGARH TPS,NA,1500,6100,468,462.59,561.55,98.84,82.38,4574,5078.52,4934.83,111.03,102.91,41.94,41.45,50.32,46.2,51.3,49.85
146,Northern Region,Rajasthan,State Sector,RRVUNL,Coal,7830,41900,3591,3313.08,3505.6,92.26,94.51,31339,31239.66,27909.26,99.68,111.93,61.64,56.87,60.18,60.64,60.45,54.01
147,Northern Region,Rajasthan,State Sector,State Sector,Thermal,7830,41900,3591,3313.08,3505.6,92.26,94.51,31339,31239.66,27909.26,99.68,111.93,61.64,56.87,60.18,60.64,60.45,54.01
148,Northern Region,Rajasthan,State Sector,DHOLPUR CCPP,NA,330,150,12,0,0,0,0,111,28.17,0,25.38,0,NA,NA,NA,NA,NA,NA
149,Northern Region,Rajasthan,State Sector,RAMGARH CCPP,NA,273.5,1050,85,45.58,126.2,53.62,36.12,778,656.53,1010.87,84.39,64.95,NA,NA,NA,NA,NA,NA
150,Northern Region,Rajasthan,State Sector,RRVUNL,Natural Gas,603.5,1200,97,45.58,126.2,46.99,36.12,889,684.7,1010.87,77.02,67.73,NA,NA,NA,NA,NA,NA
151,Northern Region,Rajasthan,State Sector,State Sector,Natural Gas,603.5,1200,97,45.58,126.2,46.99,36.12,889,684.7,1010.87,77.02,67.73,NA,NA,NA,NA,NA,NA
152,Northern Region,Rajasthan,State Sector,JAWAHAR SAGAR HPS,NA,99,200,40,29.45,43.84,73.63,67.18,124,187.2,211.19,150.97,88.64,NA,NA,NA,NA,NA,NA
153,Northern Region,Rajasthan,State Sector,MAHI BAJAJ-I HPS,NA,50,130,24,19.25,23.06,80.21,83.48,68,82.3,115.78,121.03,71.08,NA,NA,NA,NA,NA,NA
154,Northern Region,Rajasthan,State Sector,MAHI BAJAJ-II HPS,NA,90,30,4,6.82,5.51,170.5,123.77,20,47.8,58.69,239,81.44,NA,NA,NA,NA,NA,NA
155,Northern Region,Rajasthan,State Sector,R P SAGAR HPS,NA,172,312,51,49.04,61.06,96.16,80.31,182,292.48,256.87,160.7,113.86,NA,NA,NA,NA,NA,NA
156,Northern Region,Rajasthan,State Sector,RRVUNL,Hydro,411,672,119,104.56,133.47,87.87,78.34,394,609.78,642.53,154.77,94.9,NA,NA,NA,NA,NA,NA
157,Northern Region,Rajasthan,State Sector,State Sector,Hydro,411,672,119,104.56,133.47,87.87,78.34,394,609.78,642.53,154.77,94.9,NA,NA,NA,NA,NA,NA
158,Northern Region,Rajasthan,Pvt Sector,ADANI POWER LIMITED KAWAI TPP,NA,1320,9300,831,799.69,815.79,96.23,98.03,6800,6374.31,6928.69,93.74,92,84.62,81.43,83.07,78.05,73.17,79.53
159,Northern Region,Rajasthan,Pvt Sector,APL,Coal,1320,9300,831,799.69,815.79,96.23,98.03,6800,6374.31,6928.69,93.74,92,84.62,81.43,83.07,78.05,73.17,79.53
160,Northern Region,Rajasthan,Pvt Sector,JALIPA KAPURDI TPP,NA,1080,7200,608,629.48,594.87,103.53,105.82,5360,5129.3,5363.71,95.7,95.63,75.67,78.34,74.03,75.2,71.96,75.25
161,Northern Region,Rajasthan,Pvt Sector,JSWBL,Coal,1080,7200,608,629.48,594.87,103.53,105.82,5360,5129.3,5363.71,95.7,95.63,75.67,78.34,74.03,75.2,71.96,75.25
162,Northern Region,Rajasthan,Pvt Sector,SHREE CEMENT LTD TPS,NA,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Northern Region,Rajasthan,Pvt Sector,SCL,Coal,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Northern Region,Rajasthan,Pvt Sector,Pvt Sector,Thermal,2700,16500,1439,1429.17,1410.66,99.32,101.31,12160,11503.61,12292.4,94.6,93.58,80.59,71.15,70.22,76.77,64.55,68.98
165,Northern Region,Rajasthan,Central Sector,BARSINGSAR LIGNITE,NA,250,1500,124,142.09,155.72,114.59,91.25,1135,1209.46,1236.52,106.56,97.81,66.67,76.39,83.72,68.79,73.3,74.94
166,Northern Region,Rajasthan,Central Sector,NLC,Coal,250,1500,124,142.09,155.72,114.59,91.25,1135,1209.46,1236.52,106.56,97.81,66.67,76.39,83.72,68.79,73.3,74.94
167,Northern Region,Rajasthan,Central Sector,CENTRAL,Thermal,250,1500,124,142.09,155.72,114.59,91.25,1135,1209.46,1236.52,106.56,97.81,66.67,76.39,83.72,68.79,73.3,74.94
168,Northern Region,Rajasthan,Central Sector,ANTA CCPP,NA,419.33,140,13,11.04,15.47,84.92,71.36,101,336.5,112.26,333.17,299.75,NA,NA,NA,NA,NA,NA
169,Northern Region,Rajasthan,Central Sector,NTPC Ltd.,Natural Gas,419.33,140,13,11.04,15.47,84.92,71.36,101,336.5,112.26,333.17,299.75,NA,NA,NA,NA,NA,NA
170,Northern Region,Rajasthan,Central Sector,CENTRAL,Natural Gas,419.33,140,13,11.04,15.47,84.92,71.36,101,336.5,112.26,333.17,299.75,NA,NA,NA,NA,NA,NA
171,Northern Region,Rajasthan,Central Sector,DAE (RAJASTHAN),NA,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Northern Region,Rajasthan,Central Sector,DAE,Nuclear,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Northern Region,Rajasthan,Central Sector,RAJASTHAN A.P.S.,NA,1080,6141,397,658.01,458.5,165.75,143.51,4569,5264.02,5290.24,115.21,99.5,49.41,81.89,57.06,64.1,73.85,74.22
174,Northern Region,Rajasthan,Central Sector,NPCIL,Nuclear,1080,6141,397,658.01,458.5,165.75,143.51,4569,5264.02,5290.24,115.21,99.5,49.41,81.89,57.06,64.1,73.85,74.22
175,Northern Region,Rajasthan,Central Sector,Central,Nuclear,1180,6141,397,658.01,458.5,165.75,143.51,4569,5264.02,5290.24,115.21,99.5,49.41,74.95,52.23,64.1,67.59,67.93
176,Northern Region,Rajasthan,Central Sector,Total,Thermal,10780,59900,5154,4884.34,5071.98,94.77,96.3,44634,43952.73,41438.18,98.47,106.07,66.1,60.9,63.24,64.53,61.78,58.24
177,Northern Region,Rajasthan,Central Sector,Total,Nuclear,1180,6141,397,658.01,458.5,165.75,143.51,4569,5264.02,5290.24,115.21,99.5,49.41,74.95,52.23,64.1,67.59,67.93
178,Northern Region,Rajasthan,Central Sector,Total,Natural Gas,1022.83,1340,110,56.62,141.67,51.47,39.97,990,1021.2,1123.13,103.15,90.92,NA,NA,NA,NA,NA,NA
179,Northern Region,Rajasthan,Central Sector,Total,Hydro,411,672,119,104.56,133.47,87.87,78.34,394,609.78,642.53,154.77,94.9,NA,NA,NA,NA,NA,NA
180,Northern Region,Rajasthan,Central Sector,Total,Rajasthan,13393.83,68053,5780,5703.53,5805.62,98.68,98.24,50587,50847.73,48494.08,100.52,104.85,NA,NA,NA,NA,NA,NA
181,Northern Region,Uttarakhand,State Sector,CHIBRO (YAMUNA) HPS,NA,240,857,33,29.73,35.28,90.09,84.27,738,668,741.82,90.51,90.05,NA,NA,NA,NA,NA,NA
182,Northern Region,Uttarakhand,State Sector,CHILLA HPS,NA,144,780,58,55.33,62.12,95.4,89.07,626,552.7,639.01,88.29,86.49,NA,NA,NA,NA,NA,NA
183,Northern Region,Uttarakhand,State Sector,DHAKRANI HPS,NA,33.75,150,7,6.07,7.66,86.71,79.24,126,97.33,117.78,77.25,82.64,NA,NA,NA,NA,NA,NA
184,Northern Region,Uttarakhand,State Sector,DHALIPUR HPS,NA,51,223,11,10.46,12.98,95.09,80.59,192,122.89,173.88,64.01,70.68,NA,NA,NA,NA,NA,NA
185,Northern Region,Uttarakhand,State Sector,KHATIMA HPS,NA,41.4,210,11,7.57,14.02,68.82,53.99,176,168.51,191.54,95.74,87.98,NA,NA,NA,NA,NA,NA
186,Northern Region,Uttarakhand,State Sector,KHODRI HPS,NA,120,390,16,14.85,18.87,92.81,78.7,334,320.8,355.36,96.05,90.27,NA,NA,NA,NA,NA,NA
187,Northern Region,Uttarakhand,State Sector,KULHAL HPS,NA,30,140,8,8.06,9.01,100.75,89.46,120,104.73,130.98,87.28,79.96,NA,NA,NA,NA,NA,NA
188,Northern Region,Uttarakhand,State Sector,MANERI BHALI-I HPS,NA,90,462,25,26.85,21.76,107.4,123.39,405,421.27,346.85,104.02,121.46,NA,NA,NA,NA,NA,NA
189,Northern Region,Uttarakhand,State Sector,MANERI BHALI-II HPS,NA,304,1310,52,43.46,46.77,83.58,92.92,1178,1098.29,1176.14,93.23,93.38,NA,NA,NA,NA,NA,NA
190,Northern Region,Uttarakhand,State Sector,RAMGANGA HPS,NA,198,260,31,41.73,48.66,134.61,85.76,119,174.16,255.8,146.35,68.08,NA,NA,NA,NA,NA,NA
191,Northern Region,Uttarakhand,State Sector,VYASI HPS,NA,120,353,10,6.26,12.2,62.6,51.31,301,284.51,305.64,94.52,93.09,NA,NA,NA,NA,NA,NA
192,Northern Region,Uttarakhand,State Sector,UJVNL,Hydro,1372.15,5135,262,250.37,289.33,95.56,86.53,4315,4013.19,4434.8,93.01,90.49,NA,NA,NA,NA,NA,NA
193,Northern Region,Uttarakhand,State Sector,State Sector,Hydro,1372.15,5135,262,250.37,289.33,95.56,86.53,4315,4013.19,4434.8,93.01,90.49,NA,NA,NA,NA,NA,NA
194,Northern Region,Uttarakhand,Pvt Sector,BETA CCPP,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
195,Northern Region,Uttarakhand,Pvt Sector,BIPL,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
196,Northern Region,Uttarakhand,Pvt Sector,GAMA CCPP,NA,225,50,4,12.19,0,304.75,0,38,181.88,0,478.63,0,NA,NA,NA,NA,NA,NA
197,Northern Region,Uttarakhand,Pvt Sector,GIPL,Natural Gas,225,50,4,12.19,0,304.75,0,38,181.88,0,478.63,0,NA,NA,NA,NA,NA,NA
198,Northern Region,Uttarakhand,Pvt Sector,SRAVANTHI CCPP,NA,439,200,15,47.24,0,314.93,0,150,172.36,0,114.91,0,NA,NA,NA,NA,NA,NA
199,Northern Region,Uttarakhand,Pvt Sector,SrEPL,Natural Gas,439,200,15,47.24,0,314.93,0,150,172.36,0,114.91,0,NA,NA,NA,NA,NA,NA
200,Northern Region,Uttarakhand,Pvt Sector,Pvt Sector,Natural Gas,664,250,19,59.43,0,312.79,0,188,354.24,0,188.43,0,NA,NA,NA,NA,0,NA
201,Northern Region,Uttarakhand,Pvt Sector,SHRINAGAR HPS,NA,330,1310,51,46.68,56.77,91.53,82.23,1188,1195.43,1395.64,100.63,85.65,NA,NA,NA,NA,NA,NA
202,Northern Region,Uttarakhand,Pvt Sector,AHPC (GVK),Hydro,330,1310,51,46.68,56.77,91.53,82.23,1188,1195.43,1395.64,100.63,85.65,NA,NA,NA,NA,NA,NA
203,Northern Region,Uttarakhand,Pvt Sector,VISHNU PRAYAG HPS,NA,400,1750,65,54.6,59.71,84,91.44,1600,1509.22,1776.26,94.33,84.97,NA,NA,NA,NA,NA,NA
204,Northern Region,Uttarakhand,Pvt Sector,JPPVL,Hydro,400,1750,65,54.6,59.71,84,91.44,1600,1509.22,1776.26,94.33,84.97,NA,NA,NA,NA,NA,NA
205,Northern Region,Uttarakhand,Pvt Sector,SINGOLI BHATWARI HPS,NA,99,439,15,13.77,18.57,91.8,74.15,399,359.23,425.9,90.03,84.35,NA,NA,NA,NA,NA,NA
206,Northern Region,Uttarakhand,Pvt Sector,L&T,Hydro,99,439,15,13.77,18.57,91.8,74.15,399,359.23,425.9,90.03,84.35,NA,NA,NA,NA,NA,NA
207,Northern Region,Uttarakhand,Pvt Sector,Pvt Sector,Hydro,829,3499,131,115.05,135.05,87.82,85.19,3187,3063.88,3597.8,96.14,85.16,NA,NA,NA,NA,NA,NA
208,Northern Region,Uttarakhand,Central Sector,DHAULI GANGA HPS,NA,280,1165,33,27.74,42.79,84.06,64.83,1091,902.72,1210.1,82.74,74.6,NA,NA,NA,NA,NA,NA
209,Northern Region,Uttarakhand,Central Sector,TANAKPUR HPS,NA,94.2,499,27,22.03,28.24,81.59,78.01,444,409.57,476.4,92.25,85.97,NA,NA,NA,NA,NA,NA
210,Northern Region,Uttarakhand,Central Sector,NHPC,Hydro,374.2,1664,60,49.77,71.03,82.95,70.07,1535,1312.29,1686.5,85.49,77.81,NA,NA,NA,NA,NA,NA
211,Northern Region,Uttarakhand,Central Sector,TAPOVAN VISHNUGAD HPS,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
212,Northern Region,Uttarakhand,Central Sector,NTPC Ltd.,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
213,Northern Region,Uttarakhand,Central Sector,NAITWAR MORI HPS,NA,60,215,10,0,0,0,0,192,0,0,0,0,NA,NA,NA,NA,NA,NA
214,Northern Region,Uttarakhand,Central Sector,SJVNL,Hydro,60,215,10,0,0,0,0,192,0,0,0,0,NA,NA,NA,NA,NA,NA
215,Northern Region,Uttarakhand,Central Sector,KOTESHWAR HPS,NA,400,1160,107,89.9,94.84,84.02,94.79,878,933.51,964.64,106.32,96.77,NA,NA,NA,NA,NA,NA
216,Northern Region,Uttarakhand,Central Sector,TEHRI ST-1 HPS,NA,1000,3000,308,260.46,277.37,84.56,93.9,2273,2561.99,2493.79,112.71,102.73,NA,NA,NA,NA,NA,NA
217,Northern Region,Uttarakhand,Central Sector,THDC,Hydro,1400,4160,415,350.36,372.21,84.42,94.13,3151,3495.5,3458.43,110.93,101.07,NA,NA,NA,NA,NA,NA
218,Northern Region,Uttarakhand,Central Sector,Central,Hydro,1834.2,6039,485,400.13,443.24,82.5,90.27,4878,4807.79,5144.93,98.56,93.45,NA,NA,NA,NA,NA,NA
219,Northern Region,Uttarakhand,Central Sector,Total,Natural Gas,664,250,19,59.43,0,312.79,0,188,354.24,0,188.43,0,NA,NA,NA,NA,NA,NA
220,Northern Region,Uttarakhand,Central Sector,Total,Hydro,4035.35,14673,878,765.55,867.62,87.19,88.24,12380,11884.86,13177.53,96,90.19,NA,NA,NA,NA,NA,NA
221,Northern Region,Uttarakhand,Central Sector,Total,Uttarakhand,4699.35,14923,897,824.98,867.62,91.97,95.09,12568,12239.1,13177.53,97.38,92.88,NA,NA,NA,NA,NA,NA
222,Northern Region,Uttar Pradesh,State Sector,ANPARA TPS,NA,2630,19700,1403,1056.17,1373.29,75.28,76.91,15033,13133.42,14726.89,87.36,89.18,71.7,53.98,70.18,86.61,75.66,84.84
223,Northern Region,Uttar Pradesh,State Sector,HARDUAGANJ TPS,NA,1265,6800,550,396.35,314.91,72.06,125.86,5129,4776.98,4480.78,93.14,106.61,58.44,42.11,33.46,61.43,57.22,53.67
224,Northern Region,Uttar Pradesh,State Sector,JAWAHARPUR STPP,NA,0,2000,169,0,0,0,0,979,0,0,0,0,34.42,0,0,22.47,0,0
225,Northern Region,Uttar Pradesh,State Sector,OBRA-C STPP,NA,0,2000,166,0,0,0,0,981,0,0,0,0,33.81,0,0,22.52,0,0
226,Northern Region,Uttar Pradesh,State Sector,OBRA TPS,NA,1000,5700,373,388.5,556.83,104.16,69.77,4302,3639.75,4227.1,84.61,86.11,50.13,52.22,74.84,65.18,55.15,59.68
227,Northern Region,Uttar Pradesh,State Sector,PANKI TPS EXT,NA,NA,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Northern Region,Uttar Pradesh,State Sector,PARICHHA TPS,NA,920,5300,390,371.94,435.96,95.37,85.32,4059,3982.16,4065.43,98.11,97.95,45.98,54.34,51.4,53.95,55.29,54.03
229,Northern Region,Uttar Pradesh,State Sector,UPRVUNL,Coal,5815,41900,3051,2212.96,2680.99,72.53,82.54,30483,25532.31,27500.2,83.76,92.84,55.76,51.15,59.71,62.8,64.62,68.22
230,Northern Region,Uttar Pradesh,State Sector,State Sector,Thermal,5815,41900,3051,2212.96,2680.99,72.53,82.54,30483,25532.31,27500.2,83.76,92.84,55.76,51.15,59.71,62.8,64.62,68.22
231,Northern Region,Uttar Pradesh,State Sector,KHARA HPS,NA,72,334,15,15.6,18.64,104,83.69,287,233.68,289.45,81.42,80.73,NA,NA,NA,NA,NA,NA
232,Northern Region,Uttar Pradesh,State Sector,MATATILA HPS,NA,30.6,120,17,11.14,18.8,65.53,59.26,86,70.33,93.49,81.78,75.23,NA,NA,NA,NA,NA,NA
233,Northern Region,Uttar Pradesh,State Sector,OBRA HPS,NA,99,220,20,0.28,20.53,1.4,1.36,170,110.6,99.24,65.06,111.45,NA,NA,NA,NA,NA,NA
234,Northern Region,Uttar Pradesh,State Sector,RIHAND HPS,NA,300,650,60,0.4,50.81,0.67,0.79,490,252.22,214.62,51.47,117.52,NA,NA,NA,NA,NA,NA
235,Northern Region,Uttar Pradesh,State Sector,UPJVNL,Hydro,501.6,1324,112,27.42,108.78,24.48,25.21,1033,666.83,696.8,64.55,95.7,NA,NA,NA,NA,NA,NA
236,Northern Region,Uttar Pradesh,State Sector,State Sector,Hydro,501.6,1324,112,27.42,108.78,24.48,25.21,1033,666.83,696.8,64.55,95.7,NA,NA,NA,NA,NA,NA
237,Northern Region,Uttar Pradesh,Pvt Sector,BARKHERA TPS,NA,90,300,22,24.09,4.36,109.5,552.52,226,280.99,201.34,124.33,139.56,32.86,35.98,6.51,38.05,47.31,33.9
238,Northern Region,Uttar Pradesh,Pvt Sector,KHAMBARKHERA TPS,NA,90,280,20,25.23,0,126.15,0,212,287.91,193.09,135.81,149.11,29.87,37.68,0,35.69,48.47,32.51
239,Northern Region,Uttar Pradesh,Pvt Sector,KUNDARKI TPS,NA,90,325,24,19.84,6.25,82.67,317.44,246,276.37,198.64,112.35,139.13,35.84,29.63,9.33,41.41,46.53,33.44
240,Northern Region,Uttar Pradesh,Pvt Sector,MAQSOODPUR TPS,NA,90,280,20,15.22,4.14,76.1,367.63,212,286.68,198.01,135.23,144.78,29.87,22.73,6.18,35.69,48.26,33.34
241,Northern Region,Uttar Pradesh,Pvt Sector,UTRAULA TPS,NA,90,350,26,12.07,0,46.42,0,266,270.45,201.69,101.67,134.09,38.83,18.03,0,44.78,45.53,33.95
242,Northern Region,Uttar Pradesh,Pvt Sector,BEPL,Coal,450,1535,112,96.45,14.75,86.12,653.9,1162,1402.4,992.77,120.69,141.26,33.45,28.81,4.41,39.12,47.22,33.43
243,Northern Region,Uttar Pradesh,Pvt Sector,ANPARA C TPS,NA,1200,8900,777,362.24,459.34,46.62,78.86,6587,6119.41,5882.44,92.9,104.03,87.03,40.57,51.45,83.17,77.27,74.27
244,Northern Region,Uttar Pradesh,Pvt Sector,LAPPL,Coal,1200,8900,777,362.24,459.34,46.62,78.86,6587,6119.41,5882.44,92.9,104.03,87.03,40.57,51.45,83.17,77.27,74.27
245,Northern Region,Uttar Pradesh,Pvt Sector,LALITPUR TPS,NA,1980,10500,680,875.22,1080.04,128.71,81.04,7892,9547.18,8889.64,120.97,107.4,46.16,59.41,73.32,60.39,73.06,68.03
246,Northern Region,Uttar Pradesh,Pvt Sector,LPGCL,Coal,1980,10500,680,875.22,1080.04,128.71,81.04,7892,9547.18,8889.64,120.97,107.4,46.16,59.41,73.32,60.39,73.06,68.03
247,Northern Region,Uttar Pradesh,Pvt Sector,PRAYAGRAJ TPP,NA,1980,12600,1112,1070.6,1067.64,96.28,100.28,9654,9699.58,9631.7,100.47,100.7,75.49,72.68,72.47,73.88,74.22,73.7
248,Northern Region,Uttar Pradesh,Pvt Sector,PPGCL (Jaypee),Coal,1980,12600,1112,1070.6,1067.64,96.28,100.28,9654,9699.58,9631.7,100.47,100.7,75.49,72.68,72.47,73.88,74.22,73.7
249,Northern Region,Uttar Pradesh,Pvt Sector,ROSA TPP Ph-I,NA,1200,6700,428,619.8,740.4,144.81,83.71,5070,5704.4,5927.75,112.51,96.23,47.94,69.42,82.93,64.02,72.03,74.85
250,Northern Region,Uttar Pradesh,Pvt Sector,RPSCL,Coal,1200,6700,428,619.8,740.4,144.81,83.71,5070,5704.4,5927.75,112.51,96.23,47.94,69.42,82.93,64.02,72.03,74.85
251,Northern Region,Uttar Pradesh,Pvt Sector,Pvt Sector,Thermal,6810,40235,3109,3024.31,3362.17,97.28,89.95,30365,32472.97,31324.3,106.94,103.67,61.36,59.69,66.36,67.56,72.25,69.69
252,Northern Region,Uttar Pradesh,Central Sector,MEJA STPP,NA,1320,7700,528,706.02,837.24,133.72,84.33,5563,5879.41,5081.12,105.69,115.71,53.76,71.89,85.25,63.85,67.49,58.32
253,Northern Region,Uttar Pradesh,Central Sector,MUNPL,Coal,1320,7700,528,706.02,837.24,133.72,84.33,5563,5879.41,5081.12,105.69,115.71,53.76,71.89,85.25,63.85,67.49,58.32
254,Northern Region,Uttar Pradesh,Central Sector,DADRI (NCTPP),NA,1820,12600,1117,951.13,968.47,85.15,98.21,9666,7566.35,7999.45,78.28,94.59,82.49,70.24,71.52,80.47,62.99,66.6
255,Northern Region,Uttar Pradesh,Central Sector,RIHAND STPS,NA,3000,24600,1983,1989,2022.16,100.3,98.36,18821,17919.45,17664.18,95.21,101.45,88.84,89.11,90.6,95.06,90.5,89.21
256,Northern Region,Uttar Pradesh,Central Sector,SINGRAULI STPS,NA,2000,15700,1372,1275.15,1409,92.94,90.5,11643,11749.5,11943.07,100.91,98.38,92.2,85.7,94.69,88.2,89.01,90.48
257,Northern Region,Uttar Pradesh,Central Sector,TANDA TPS,NA,1760,12800,1148,925.25,436.65,80.6,211.9,9366,7925.16,7123.8,84.62,111.25,87.67,70.66,33.35,80.63,68.23,61.33
258,Northern Region,Uttar Pradesh,Central Sector,UNCHAHAR TPS,NA,1550,10600,909,624.3,517.21,68.68,120.71,7891,6546.56,6193.26,82.96,105.7,78.82,54.14,44.85,77.14,63.99,60.54
259,Northern Region,Uttar Pradesh,Central Sector,NTPC Ltd.,Coal,10130,76300,6529,5764.83,5353.49,88.3,107.68,57387,51707.02,50923.76,90.1,101.54,86.63,76.49,71.03,85.83,77.34,76.17
260,Northern Region,Uttar Pradesh,Central Sector,GHATAMPUR TPP,NA,0,3300,447,0,0,0,0,1837,0,0,0,0,27.9,0,0,24.27,0,0
261,Northern Region,Uttar Pradesh,Central Sector,NUPPL,Coal,0,3300,447,0,0,0,0,1837,0,0,0,0,27.9,0,0,24.27,0,0
262,Northern Region,Uttar Pradesh,Central Sector,KHURJA TPP,NA,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Northern Region,Uttar Pradesh,Central Sector,THDC,Coal,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,Northern Region,Uttar Pradesh,Central Sector,Central,Thermal,11450,87500,7504,6470.85,6190.73,86.23,104.52,64787,57586.43,56004.88,88.89,102.82,79.85,75.96,72.67,80.08,76.2,74.11
265,Northern Region,Uttar Pradesh,Central Sector,AURAIYA CCPP,NA,663.36,480,39,21.12,24.45,54.15,86.38,356,672.38,196.02,188.87,343.02,NA,NA,NA,NA,NA,NA
