Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),August` 2023 - Program - Col (3),August` 2023 - Actual - Col (4),August` 2023 - Actual Same Month 2022-23 - Col (5),August` 2023 - % of Program Col. (4/3) - Col (6),August` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to August` 2023 - Program - Col (8),April` 2023 to August` 2023 - Actual - Col (9),April` 2023 to August` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to August` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to August` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - August` 2023 - Program - Col (13),Plant Load Factor (%) - August` 2023 - Actual - Col (14),Plant Load Factor (%) - August` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to August` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to August` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to August` 2023 - Actual Same Peroid 2022-23 - Col (18)
966,North Eastern Region,Assam,State Sector,KARBI LANGPI HPS,NA,100,380,73,47.65,66.27,65.27,71.9,210,144.55,233.87,68.83,61.81,NA,NA,NA,NA,NA,NA
967,North Eastern Region,Assam,State Sector,APGCL,Hydro,100,380,73,47.65,66.27,65.27,71.9,210,144.55,233.87,68.83,61.81,NA,NA,NA,NA,NA,NA
968,North Eastern Region,Assam,State Sector,State Sector,Hydro,100,380,73,47.65,66.27,65.27,71.9,210,144.55,233.87,68.83,61.81,NA,NA,NA,NA,NA,NA
969,North Eastern Region,Assam,Central Sector,BONGAIGAON TPP,NA,750,5650,487,466.07,466.13,95.7,99.99,2461,2208.93,2356.02,89.76,93.76,87.28,83.53,83.54,89.36,80.21,85.55
970,North Eastern Region,Assam,Central Sector,NTPC Ltd.,Coal,750,5650,487,466.07,466.13,95.7,99.99,2461,2208.93,2356.02,89.76,93.76,87.28,83.53,83.54,89.36,80.21,85.55
971,North Eastern Region,Assam,Central Sector,CENTRAL,Thermal,750,5650,487,466.07,466.13,95.7,99.99,2461,2208.93,2356.02,89.76,93.76,87.28,83.53,83.54,89.36,80.21,85.55
972,North Eastern Region,Assam,Central Sector,KATHALGURI CCPP,NA,291,1800,151,141.57,140.31,93.75,100.9,797,696.14,734.29,87.35,94.8,NA,NA,NA,NA,NA,NA
973,North Eastern Region,Assam,Central Sector,NEEPCO.,Natural Gas,291,1800,151,141.57,140.31,93.75,100.9,797,696.14,734.29,87.35,94.8,NA,NA,NA,NA,NA,NA
974,North Eastern Region,Assam,Central Sector,CENTRAL,Natural Gas,291,1800,151,141.57,140.31,93.75,100.9,797,696.14,734.29,87.35,94.8,NA,NA,NA,NA,NA,NA
975,North Eastern Region,Assam,Central Sector,KHONDONG HPS,NA,50,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
976,North Eastern Region,Assam,Central Sector,KOPILI HPS,NA,200,338,48,9.65,0,20.1,0,130,9.65,0,7.42,0,NA,NA,NA,NA,NA,NA
977,North Eastern Region,Assam,Central Sector,NEEPCO.,Hydro,250,338,48,9.65,0,20.1,0,130,9.65,0,7.42,0,NA,NA,NA,NA,NA,NA
978,North Eastern Region,Assam,Central Sector,Central,Hydro,250,338,48,9.65,0,20.1,0,130,9.65,0,7.42,0,NA,NA,NA,NA,NA,NA
979,North Eastern Region,Assam,Central Sector,Total,Thermal,750,5650,487,466.07,466.13,95.7,99.99,2461,2208.93,2356.02,89.76,93.76,87.28,83.53,83.54,89.36,80.21,85.55
980,North Eastern Region,Assam,Central Sector,Total,Natural Gas,597.36,3635,307,298.24,281.37,97.15,106,1599,1452.27,1443.01,90.82,100.64,NA,NA,NA,NA,NA,NA
981,North Eastern Region,Assam,Central Sector,Total,Hydro,350,718,121,57.3,66.27,47.36,86.46,340,154.2,233.87,45.35,65.93,NA,NA,NA,NA,NA,NA
982,North Eastern Region,Assam,Central Sector,Total,Assam,1697.36,10003,915,821.61,813.77,89.79,100.96,4400,3815.4,4032.9,86.71,94.61,NA,NA,NA,NA,NA,NA
983,North Eastern Region,Manipur,State Sector,LEIMAKHONG DG,NA,36,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
984,North Eastern Region,Manipur,State Sector,"ED, Manipur",Diesel,36,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
985,North Eastern Region,Manipur,State Sector,State Sector,Thermal,36,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
986,North Eastern Region,Manipur,Central Sector,LOKTAK HPS,NA,105,304,68,34.28,76.86,50.41,44.6,214,63.4,299.58,29.63,21.16,NA,NA,NA,NA,NA,NA
987,North Eastern Region,Manipur,Central Sector,NHPC,Hydro,105,304,68,34.28,76.86,50.41,44.6,214,63.4,299.58,29.63,21.16,NA,NA,NA,NA,NA,NA
988,North Eastern Region,Manipur,Central Sector,Central,Hydro,105,304,68,34.28,76.86,50.41,44.6,214,63.4,299.58,29.63,21.16,NA,NA,NA,NA,NA,NA
989,North Eastern Region,Manipur,Central Sector,Total,Thermal,36,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
990,North Eastern Region,Manipur,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
991,North Eastern Region,Manipur,Central Sector,Total,Hydro,105,304,68,34.28,76.86,50.41,44.6,214,63.4,299.58,29.63,21.16,NA,NA,NA,NA,NA,NA
992,North Eastern Region,Manipur,Central Sector,Total,Manipur,141,304,68,34.28,76.86,50.41,44.6,214,63.4,299.58,29.63,21.16,NA,NA,NA,NA,NA,NA
993,North Eastern Region,Meghalaya,State Sector,KYRDEMKULAI HPS,NA,60,139,17,13.68,15.39,80.47,88.89,54,50.53,63.95,93.57,79.01,NA,NA,NA,NA,NA,NA
