Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),August` 2023 - Program - Col (3),August` 2023 - Actual - Col (4),August` 2023 - Actual Same Month 2022-23 - Col (5),August` 2023 - % of Program Col. (4/3) - Col (6),August` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to August` 2023 - Program - Col (8),April` 2023 to August` 2023 - Actual - Col (9),April` 2023 to August` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to August` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to August` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - August` 2023 - Program - Col (13),Plant Load Factor (%) - August` 2023 - Actual - Col (14),Plant Load Factor (%) - August` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to August` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to August` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to August` 2023 - Actual Same Peroid 2022-23 - Col (18)
994,North Eastern Region,Meghalaya,State Sector,MYNTDU (LESHKA) St-1 HPS,NA,126,461,85,56.99,37.51,67.05,151.93,272,184.12,245.36,67.69,75.04,NA,NA,NA,NA,NA,NA
995,North Eastern Region,Meghalaya,State Sector,NEW UMTRU HPS,NA,40,183,23,25.58,28.82,111.22,88.76,79,77,101.2,97.47,76.09,NA,NA,NA,NA,NA,NA
996,North Eastern Region,Meghalaya,State Sector,UMIAM HPS ST-I,NA,36,116,15,12.55,16.57,83.67,75.74,45,40.44,78.29,89.87,51.65,NA,NA,NA,NA,NA,NA
997,North Eastern Region,Meghalaya,State Sector,UMIAM HPS ST-IV,NA,60,207,28,22.87,28.39,81.68,80.56,89,71.5,98.36,80.34,72.69,NA,NA,NA,NA,NA,NA
998,North Eastern Region,Meghalaya,State Sector,MeECL,Hydro,322,1106,168,131.67,126.68,78.38,103.94,539,423.59,587.16,78.59,72.14,NA,NA,NA,NA,NA,NA
999,North Eastern Region,Meghalaya,State Sector,State Sector,Hydro,322,1106,168,131.67,126.68,78.38,103.94,539,423.59,587.16,78.59,72.14,NA,NA,NA,NA,NA,NA
1000,North Eastern Region,Meghalaya,State Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1001,North Eastern Region,Meghalaya,State Sector,Total,Hydro,322,1106,168,131.67,126.68,78.38,103.94,539,423.59,587.16,78.59,72.14,NA,NA,NA,NA,NA,NA
1002,North Eastern Region,Meghalaya,State Sector,Total,Meghalaya,322,1106,168,131.67,126.68,78.38,103.94,539,423.59,587.16,78.59,72.14,NA,NA,NA,NA,NA,NA
1003,North Eastern Region,Mizoram,Central Sector,TUIRIAL HPS,NA,60,170,22,9.04,39.13,41.09,23.1,49,32.23,77.67,65.78,41.5,NA,NA,NA,NA,NA,NA
1004,North Eastern Region,Mizoram,Central Sector,NEEPCO.,Hydro,60,170,22,9.04,39.13,41.09,23.1,49,32.23,77.67,65.78,41.5,NA,NA,NA,NA,NA,NA
1005,North Eastern Region,Mizoram,Central Sector,Central,Hydro,60,170,22,9.04,39.13,41.09,23.1,49,32.23,77.67,65.78,41.5,NA,NA,NA,NA,NA,NA
1006,North Eastern Region,Mizoram,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1007,North Eastern Region,Mizoram,Central Sector,Total,Hydro,60,170,22,9.04,39.13,41.09,23.1,49,32.23,77.67,65.78,41.5,NA,NA,NA,NA,NA,NA
1008,North Eastern Region,Mizoram,Central Sector,Total,Mizoram,60,170,22,9.04,39.13,41.09,23.1,49,32.23,77.67,65.78,41.5,NA,NA,NA,NA,NA,NA
1009,North Eastern Region,Nagaland,Central Sector,DOYANG HPS,NA,75,216,43,52.42,19.59,121.91,267.59,106,93.05,101.55,87.78,91.63,NA,NA,NA,NA,NA,NA
1010,North Eastern Region,Nagaland,Central Sector,NEEPCO.,Hydro,75,216,43,52.42,19.59,121.91,267.59,106,93.05,101.55,87.78,91.63,NA,NA,NA,NA,NA,NA
1011,North Eastern Region,Nagaland,Central Sector,Central,Hydro,75,216,43,52.42,19.59,121.91,267.59,106,93.05,101.55,87.78,91.63,NA,NA,NA,NA,NA,NA
1012,North Eastern Region,Nagaland,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1013,North Eastern Region,Nagaland,Central Sector,Total,Hydro,75,216,43,52.42,19.59,121.91,267.59,106,93.05,101.55,87.78,91.63,NA,NA,NA,NA,NA,NA
1014,North Eastern Region,Nagaland,Central Sector,Total,Nagaland,75,216,43,52.42,19.59,121.91,267.59,106,93.05,101.55,87.78,91.63,NA,NA,NA,NA,NA,NA
1015,North Eastern Region,Tripura,State Sector,BARAMURA GT,NA,42,200,17,12.87,28.16,75.71,45.7,90,69.33,128.64,77.03,53.89,NA,NA,NA,NA,NA,NA
1016,North Eastern Region,Tripura,State Sector,ROKHIA GT,NA,63,300,26,24.3,13.2,93.46,184.09,130,130.08,88.61,100.06,146.8,NA,NA,NA,NA,NA,NA
1017,North Eastern Region,Tripura,State Sector,TSECL,Natural Gas,105,500,43,37.17,41.36,86.44,89.87,220,199.41,217.25,90.64,91.79,NA,NA,NA,NA,NA,NA
1018,North Eastern Region,Tripura,State Sector,State Sector,Natural Gas,105,500,43,37.17,41.36,86.44,89.87,220,199.41,217.25,90.64,91.79,NA,NA,NA,NA,NA,NA
1019,North Eastern Region,Tripura,Central Sector,AGARTALA GT,NA,135,1000,92,60.37,65.49,65.62,92.18,444,314.45,353.19,70.82,89.03,NA,NA,NA,NA,NA,NA
1020,North Eastern Region,Tripura,Central Sector,MONARCHAK CCPP,NA,101,600,26,57.14,68.4,219.77,83.54,254,284.03,310.18,111.82,91.57,NA,NA,NA,NA,NA,NA
1021,North Eastern Region,Tripura,Central Sector,NEEPCO.,Natural Gas,236,1600,118,117.51,133.89,99.58,87.77,698,598.48,663.37,85.74,90.22,NA,NA,NA,NA,NA,NA
1022,North Eastern Region,Tripura,Central Sector,TRIPURA CCPP,NA,726.6,4800,408,435.31,450.17,106.69,96.7,1939,1978.55,1878.71,102.04,105.31,NA,NA,NA,NA,NA,NA
1023,North Eastern Region,Tripura,Central Sector,ONGC,Natural Gas,726.6,4800,408,435.31,450.17,106.69,96.7,1939,1978.55,1878.71,102.04,105.31,NA,NA,NA,NA,NA,NA
1024,North Eastern Region,Tripura,Central Sector,Central,Natural Gas,962.6,6400,526,552.82,584.06,105.1,94.65,2637,2577.03,2542.08,97.73,101.37,NA,NA,NA,NA,NA,NA
1025,North Eastern Region,Tripura,Central Sector,Total,Natural Gas,1067.6,6900,569,589.99,625.42,103.69,94.34,2857,2776.44,2759.33,97.18,100.62,NA,NA,NA,NA,NA,NA
1026,North Eastern Region,Tripura,Central Sector,Total,Tripura,1067.6,6900,569,589.99,625.42,103.69,94.34,2857,2776.44,2759.33,97.18,100.62,NA,NA,NA,NA,NA,NA
