Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),September` 2023 - Program - Col (3),September` 2023 - Actual - Col (4),September` 2023 - Actual Same Month 2022-23 - Col (5),September` 2023 - % of Program Col. (4/3) - Col (6),September` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to September` 2023 - Program - Col (8),April` 2023 to September` 2023 - Actual - Col (9),April` 2023 to September` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to September` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to September` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - September` 2023 - Program - Col (13),Plant Load Factor (%) - September` 2023 - Actual - Col (14),Plant Load Factor (%) - September` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to September` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to September` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to September` 2023 - Actual Same Peroid 2022-23 - Col (18)
114,Northern Region,Punjab,State Sector,ANANDPUR SAHIB-I HPS,NA,67,265,33,41.21,36.75,124.88,112.14,193,162.45,155.34,84.17,104.58,NA,NA,NA,NA,NA,NA
115,Northern Region,Punjab,State Sector,ANANDPUR SAHIB-II HPS,NA,67,265,33,41.95,36.86,127.12,113.81,193,164.25,165.25,85.1,99.39,NA,NA,NA,NA,NA,NA
116,Northern Region,Punjab,State Sector,MUKERIAN-I HPS,NA,45,234,24,29.33,136.89,122.21,21.43,96,107.87,522.81,112.36,20.63,NA,NA,NA,NA,NA,NA
117,Northern Region,Punjab,State Sector,MUKERIAN-II HPS,NA,45,234,24,29.81,0,124.21,0,96,113.09,0,117.8,0,NA,NA,NA,NA,NA,NA
118,Northern Region,Punjab,State Sector,MUKERIAN-III HPS,NA,58.5,306,32,38.24,0,119.5,0,126,143.27,0,113.71,0,NA,NA,NA,NA,NA,NA
119,Northern Region,Punjab,State Sector,MUKERIAN-IV HPS,NA,58.5,306,32,33.45,0,104.53,0,126,130.98,0,103.95,0,NA,NA,NA,NA,NA,NA
120,Northern Region,Punjab,State Sector,RANJIT SAGAR HPS,NA,600,1580,150,221.83,151.89,147.89,146.05,1040,1422.7,916.22,136.8,155.28,NA,NA,NA,NA,NA,NA
121,Northern Region,Punjab,State Sector,PSPCL,Hydro,941,3190,328,435.82,362.39,132.87,120.26,1870,2244.61,1759.62,120.03,127.56,NA,NA,NA,NA,NA,NA
122,Northern Region,Punjab,State Sector,State Sector,Hydro,941,3190,328,435.82,362.39,132.87,120.26,1870,2244.61,1759.62,120.03,127.56,NA,NA,NA,NA,NA,NA
123,Northern Region,Punjab,State Sector,GOINDWAL SAHIB TPP,NA,540,3000,234,183.2,108.61,78.29,168.68,1552,1242.34,962.71,80.05,129.05,60.19,47.12,27.93,65.44,52.38,40.59
124,Northern Region,Punjab,State Sector,GPGSL (GVK),Coal,540,3000,234,183.2,108.61,78.29,168.68,1552,1242.34,962.71,80.05,129.05,60.19,47.12,27.93,65.44,52.38,40.59
125,Northern Region,Punjab,Pvt Sector,RAJPURA TPP,NA,1400,10400,908,899.36,892.68,99.05,100.75,5599,5461.73,5695.04,97.55,95.9,90.08,89.22,88.56,91.06,88.83,92.62
126,Northern Region,Punjab,Pvt Sector,NPL,Coal,1400,10400,908,899.36,892.68,99.05,100.75,5599,5461.73,5695.04,97.55,95.9,90.08,89.22,88.56,91.06,88.83,92.62
127,Northern Region,Punjab,Pvt Sector,TALWANDI SABO TPP,NA,1980,12400,1010,959.79,896.6,95.03,107.05,6552,6058.55,5849.62,92.47,103.57,70.85,67.33,62.89,75.34,69.67,67.27
128,Northern Region,Punjab,Pvt Sector,TSPL,Coal,1980,12400,1010,959.79,896.6,95.03,107.05,6552,6058.55,5849.62,92.47,103.57,70.85,67.33,62.89,75.34,69.67,67.27
129,Northern Region,Punjab,Pvt Sector,Pvt Sector,Thermal,3920,25800,2152,2042.35,1897.89,94.9,107.61,13703,12762.62,12507.37,93.14,102.04,76.25,72.36,67.24,79.59,74.13,72.65
130,Northern Region,Punjab,Central Sector,GANGUWAL HPS,NA,77.65,500,42,51.76,52.03,123.24,99.48,250,305.63,302.65,122.25,100.98,NA,NA,NA,NA,NA,NA
131,Northern Region,Punjab,Central Sector,KOTLA HPS,NA,77.65,500,42,53.91,52.56,128.36,102.57,250,309.29,304.83,123.72,101.46,NA,NA,NA,NA,NA,NA
132,Northern Region,Punjab,Central Sector,BBMB,Hydro,155.3,1000,84,105.67,104.59,125.8,101.03,500,614.92,607.48,122.98,101.22,NA,NA,NA,NA,NA,NA
133,Northern Region,Punjab,Central Sector,Central,Hydro,155.3,1000,84,105.67,104.59,125.8,101.03,500,614.92,607.48,122.98,101.22,NA,NA,NA,NA,NA,NA
134,Northern Region,Punjab,Central Sector,Total,Thermal,5680,32150,2669,2714.39,2462.97,101.7,110.21,17181,16880.25,16446.95,98.25,102.63,65.26,66.37,60.23,68.87,67.67,65.93
135,Northern Region,Punjab,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
136,Northern Region,Punjab,Central Sector,Total,Hydro,1096.3,4190,412,541.49,466.98,131.43,115.96,2370,2859.53,2367.1,120.66,120.8,NA,NA,NA,NA,NA,NA
137,Northern Region,Punjab,Central Sector,Total,Punjab,6776.3,36340,3081,3255.88,2929.95,105.68,111.12,19551,19739.78,18814.05,100.97,104.92,NA,NA,NA,NA,NA,NA
138,Northern Region,Rajasthan,State Sector,CHHABRA-II TPP,NA,1320,8400,612,726.37,607.47,118.69,119.57,3940,3134.02,4038.23,79.54,77.61,64.39,76.43,63.92,67.96,54.06,69.66
139,Northern Region,Rajasthan,State Sector,CHHABRA-I PH-1 TPP,NA,500,3400,185,254.96,279.06,137.82,91.36,1607,1680.9,1582.69,104.6,106.21,51.39,70.82,77.52,73.18,76.54,72.07
140,Northern Region,Rajasthan,State Sector,CHHABRA-I PH-2 TPP,NA,500,3000,231,156.9,138.18,67.92,113.55,1375,907.08,952.87,65.97,95.19,64.17,43.58,38.38,62.61,41.31,43.39
141,Northern Region,Rajasthan,State Sector,GIRAL TPS,NA,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Northern Region,Rajasthan,State Sector,KALISINDH TPS,NA,1200,7000,603,710.63,520.36,117.85,136.57,3938,3764.02,3059.54,95.58,123.03,69.79,82.25,60.23,74.72,71.42,58.05
143,Northern Region,Rajasthan,State Sector,KOTA TPS,NA,1240,8000,593,644.85,644.55,108.74,100.05,4088,4227.59,3883.63,103.41,108.86,66.42,72.23,72.19,75.06,77.63,71.31
144,Northern Region,Rajasthan,State Sector,SURATGARH STPS,NA,1320,6000,329,590.85,297.75,179.59,198.44,2935,3466.69,1792.85,118.12,193.36,34.62,62.17,31.33,50.63,59.8,30.92
145,Northern Region,Rajasthan,State Sector,SURATGARH TPS,NA,1500,6100,447,599.56,538.52,134.13,111.33,3151,3785.03,3495.29,120.12,108.29,41.39,55.51,49.86,47.83,57.45,53.06
146,Northern Region,Rajasthan,State Sector,RRVUNL,Coal,7830,41900,3000,3684.12,3025.89,122.8,121.75,21034,20965.33,18805.1,99.67,111.49,53.21,65.35,53.67,61.16,60.96,54.68
147,Northern Region,Rajasthan,State Sector,State Sector,Thermal,7830,41900,3000,3684.12,3025.89,122.8,121.75,21034,20965.33,18805.1,99.67,111.49,53.21,65.35,53.67,61.16,60.96,54.68
148,Northern Region,Rajasthan,State Sector,DHOLPUR CCPP,NA,330,150,12,3.16,0,26.33,0,75,3.16,0,4.21,0,NA,NA,NA,NA,NA,NA
149,Northern Region,Rajasthan,State Sector,RAMGARH CCPP,NA,273.5,1050,71,56.71,123.55,79.87,45.9,528,499.5,666.18,94.6,74.98,NA,NA,NA,NA,NA,NA
150,Northern Region,Rajasthan,State Sector,RRVUNL,Natural Gas,603.5,1200,83,59.87,123.55,72.13,48.46,603,502.66,666.18,83.36,75.45,NA,NA,NA,NA,NA,NA
151,Northern Region,Rajasthan,State Sector,State Sector,Natural Gas,603.5,1200,83,59.87,123.55,72.13,48.46,603,502.66,666.18,83.36,75.45,NA,NA,NA,NA,NA,NA
152,Northern Region,Rajasthan,State Sector,JAWAHAR SAGAR HPS,NA,99,200,5,28.88,20.78,577.6,138.98,14,98.23,100.04,701.64,98.19,NA,NA,NA,NA,NA,NA
153,Northern Region,Rajasthan,State Sector,MAHI BAJAJ-I HPS,NA,50,130,23,16.88,28.68,73.39,58.86,27,29.98,55.29,111.04,54.22,NA,NA,NA,NA,NA,NA
154,Northern Region,Rajasthan,State Sector,MAHI BAJAJ-II HPS,NA,90,30,12,10.49,19.81,87.42,52.95,14,24.07,35.34,171.93,68.11,NA,NA,NA,NA,NA,NA
155,Northern Region,Rajasthan,State Sector,R P SAGAR HPS,NA,172,312,28,40.01,26.71,142.89,149.79,41,140.29,103.75,342.17,135.22,NA,NA,NA,NA,NA,NA
156,Northern Region,Rajasthan,State Sector,RRVUNL,Hydro,411,672,68,96.26,95.98,141.56,100.29,96,292.57,294.42,304.76,99.37,NA,NA,NA,NA,NA,NA
157,Northern Region,Rajasthan,State Sector,State Sector,Hydro,411,672,68,96.26,95.98,141.56,100.29,96,292.57,294.42,304.76,99.37,NA,NA,NA,NA,NA,NA
158,Northern Region,Rajasthan,Pvt Sector,KAWAI TPS,NA,1320,9300,778,549.26,717.94,70.6,76.51,4912,3890,4354.38,79.19,89.34,81.86,57.79,75.54,84.73,67.1,75.11
159,Northern Region,Rajasthan,Pvt Sector,APL,Coal,1320,9300,778,549.26,717.94,70.6,76.51,4912,3890,4354.38,79.19,89.34,81.86,57.79,75.54,84.73,67.1,75.11
160,Northern Region,Rajasthan,Pvt Sector,JALIPA KAPURDI TPP,NA,1080,7200,568,632.32,603.25,111.32,104.82,3616,3375.6,3571.01,93.35,94.53,73.05,81.32,77.58,76.23,71.16,75.28
161,Northern Region,Rajasthan,Pvt Sector,JSWBL,Coal,1080,7200,568,632.32,603.25,111.32,104.82,3616,3375.6,3571.01,93.35,94.53,73.05,81.32,77.58,76.23,71.16,75.28
162,Northern Region,Rajasthan,Pvt Sector,SHREE CEMENT LTD TPS,NA,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Northern Region,Rajasthan,Pvt Sector,SCL,Coal,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Northern Region,Rajasthan,Pvt Sector,Pvt Sector,Thermal,2700,16500,1346,1181.58,1321.19,87.78,89.43,8528,7265.6,7925.39,85.2,91.67,77.89,60.78,67.96,80.9,61.27,66.83
165,Northern Region,Rajasthan,Central Sector,BARSINGSAR LIGNITE,NA,250,1500,116,169.62,150.35,146.22,112.82,778,780.25,751.67,100.29,103.8,64.44,94.23,83.53,70.86,71.06,68.46
166,Northern Region,Rajasthan,Central Sector,NLC,Coal,250,1500,116,169.62,150.35,146.22,112.82,778,780.25,751.67,100.29,103.8,64.44,94.23,83.53,70.86,71.06,68.46
167,Northern Region,Rajasthan,Central Sector,CENTRAL,Thermal,250,1500,116,169.62,150.35,146.22,112.82,778,780.25,751.67,100.29,103.8,64.44,94.23,83.53,70.86,71.06,68.46
168,Northern Region,Rajasthan,Central Sector,ANTA CCPP,NA,419.33,140,11,45.47,9.06,413.36,501.88,72,259.79,72.72,360.82,357.25,NA,NA,NA,NA,NA,NA
169,Northern Region,Rajasthan,Central Sector,NTPC Ltd.,Natural Gas,419.33,140,11,45.47,9.06,413.36,501.88,72,259.79,72.72,360.82,357.25,NA,NA,NA,NA,NA,NA
170,Northern Region,Rajasthan,Central Sector,CENTRAL,Natural Gas,419.33,140,11,45.47,9.06,413.36,501.88,72,259.79,72.72,360.82,357.25,NA,NA,NA,NA,NA,NA
171,Northern Region,Rajasthan,Central Sector,DAE (RAJASTHAN),NA,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Northern Region,Rajasthan,Central Sector,DAE,Nuclear,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Northern Region,Rajasthan,Central Sector,RAJASTHAN A.P.S.,NA,1080,6141,498,560.45,551.31,112.54,101.66,3172,3583,3741.5,112.96,95.76,64.04,72.07,70.9,66.87,75.54,78.88
174,Northern Region,Rajasthan,Central Sector,NPCIL,Nuclear,1080,6141,498,560.45,551.31,112.54,101.66,3172,3583,3741.5,112.96,95.76,64.04,72.07,70.9,66.87,75.54,78.88
175,Northern Region,Rajasthan,Central Sector,Central,Nuclear,1180,6141,498,560.45,551.31,112.54,101.66,3172,3583,3741.5,112.96,95.76,64.04,65.97,64.89,66.87,69.14,72.19
176,Northern Region,Rajasthan,Central Sector,Total,Thermal,10780,59900,4462,5035.32,4497.43,112.85,111.96,30340,29011.18,27482.16,95.62,105.56,59.13,64.87,57.94,65.92,61.28,58.05
177,Northern Region,Rajasthan,Central Sector,Total,Nuclear,1180,6141,498,560.45,551.31,112.54,101.66,3172,3583,3741.5,112.96,95.76,64.04,65.97,64.89,66.87,69.14,72.19
178,Northern Region,Rajasthan,Central Sector,Total,Natural Gas,1022.83,1340,94,105.34,132.61,112.06,79.44,675,762.45,738.9,112.96,103.19,NA,NA,NA,NA,NA,NA
179,Northern Region,Rajasthan,Central Sector,Total,Hydro,411,672,68,96.26,95.98,141.56,100.29,96,292.57,294.42,304.76,99.37,NA,NA,NA,NA,NA,NA
180,Northern Region,Rajasthan,Central Sector,Total,Rajasthan,13393.83,68053,5122,5797.37,5277.33,113.19,109.85,34283,33649.2,32256.98,98.15,104.32,NA,NA,NA,NA,NA,NA
181,Northern Region,Uttarakhand,State Sector,CHIBRO (YAMUNA) HPS,NA,240,857,125,100.13,127.71,80.1,78.4,585,547.62,538.66,93.61,101.66,NA,NA,NA,NA,NA,NA
182,Northern Region,Uttarakhand,State Sector,CHILLA HPS,NA,144,780,90,87.58,88.17,97.31,99.33,438,379.29,436.63,86.6,86.87,NA,NA,NA,NA,NA,NA
183,Northern Region,Uttarakhand,State Sector,DHAKRANI HPS,NA,33.75,150,19,18.81,19.58,99,96.07,97,72.3,79.08,74.54,91.43,NA,NA,NA,NA,NA,NA
184,Northern Region,Uttarakhand,State Sector,DHALIPUR HPS,NA,51,223,26,23.4,21.59,90,108.38,141,79.51,115.11,56.39,69.07,NA,NA,NA,NA,NA,NA
185,Northern Region,Uttarakhand,State Sector,KHATIMA HPS,NA,41.4,210,25,27.55,23.37,110.2,117.89,133,133.52,145.6,100.39,91.7,NA,NA,NA,NA,NA,NA
186,Northern Region,Uttarakhand,State Sector,KHODRI HPS,NA,120,390,55,48.23,58.1,87.69,83.01,264,260.43,255.2,98.65,102.05,NA,NA,NA,NA,NA,NA
187,Northern Region,Uttarakhand,State Sector,KULHAL HPS,NA,30,140,18,15.55,18.91,86.39,82.23,88,75.53,88.41,85.83,85.43,NA,NA,NA,NA,NA,NA
188,Northern Region,Uttarakhand,State Sector,MANERI BHALI-I HPS,NA,90,462,62,67.26,62.8,108.48,107.1,312,310.58,235.02,99.54,132.15,NA,NA,NA,NA,NA,NA
189,Northern Region,Uttarakhand,State Sector,MANERI BHALI-II HPS,NA,304,1310,185,196.98,191.91,106.48,102.64,936,910.3,959.71,97.25,94.85,NA,NA,NA,NA,NA,NA
190,Northern Region,Uttarakhand,State Sector,RAMGANGA HPS,NA,198,260,3,0,0,0,0,84,126.01,203.41,150.01,61.95,NA,NA,NA,NA,NA,NA
191,Northern Region,Uttarakhand,State Sector,VYASI HPS,NA,120,353,35,38.12,70.82,108.91,53.83,247,247.6,220.4,100.24,112.34,NA,NA,NA,NA,NA,NA
192,Northern Region,Uttarakhand,State Sector,UJVNL,Hydro,1372.15,5135,643,623.61,682.96,96.98,91.31,3325,3142.69,3277.23,94.52,95.89,NA,NA,NA,NA,NA,NA
193,Northern Region,Uttarakhand,State Sector,State Sector,Hydro,1372.15,5135,643,623.61,682.96,96.98,91.31,3325,3142.69,3277.23,94.52,95.89,NA,NA,NA,NA,NA,NA
194,Northern Region,Uttarakhand,Pvt Sector,BETA CCPP,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
195,Northern Region,Uttarakhand,Pvt Sector,BIPL,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
196,Northern Region,Uttarakhand,Pvt Sector,GAMA CCPP,NA,225,50,4,0,0,0,0,26,169.69,0,652.65,0,NA,NA,NA,NA,NA,NA
197,Northern Region,Uttarakhand,Pvt Sector,GIPL,Natural Gas,225,50,4,0,0,0,0,26,169.69,0,652.65,0,NA,NA,NA,NA,NA,NA
198,Northern Region,Uttarakhand,Pvt Sector,SRAVANTHI CCPP,NA,439,200,16,0,0,0,0,101,125.12,0,123.88,0,NA,NA,NA,NA,NA,NA
199,Northern Region,Uttarakhand,Pvt Sector,SrEPL,Natural Gas,439,200,16,0,0,0,0,101,125.12,0,123.88,0,NA,NA,NA,NA,NA,NA
200,Northern Region,Uttarakhand,Pvt Sector,Pvt Sector,Natural Gas,664,250,20,0,0,0,0,127,294.81,0,232.13,0,NA,NA,NA,NA,0,NA
201,Northern Region,Uttarakhand,Pvt Sector,SHRINAGAR HPS,NA,330,1310,220,227.65,244.61,103.48,93.07,972,976,1082.22,100.41,90.18,NA,NA,NA,NA,NA,NA
202,Northern Region,Uttarakhand,Pvt Sector,AHPC (GVK),Hydro,330,1310,220,227.65,244.61,103.48,93.07,972,976,1082.22,100.41,90.18,NA,NA,NA,NA,NA,NA
203,Northern Region,Uttarakhand,Pvt Sector,VISHNU PRAYAG HPS,NA,400,1750,255,275.63,271.23,108.09,101.62,1305,1281.45,1532.21,98.2,83.63,NA,NA,NA,NA,NA,NA
204,Northern Region,Uttarakhand,Pvt Sector,JPPVL,Hydro,400,1750,255,275.63,271.23,108.09,101.62,1305,1281.45,1532.21,98.2,83.63,NA,NA,NA,NA,NA,NA
205,Northern Region,Uttarakhand,Pvt Sector,SINGOLI BHATWARI HPS,NA,99,439,71,72.21,75.53,101.7,95.6,327,288.45,320.76,88.21,89.93,NA,NA,NA,NA,NA,NA
206,Northern Region,Uttarakhand,Pvt Sector,L&T,Hydro,99,439,71,72.21,75.53,101.7,95.6,327,288.45,320.76,88.21,89.93,NA,NA,NA,NA,NA,NA
207,Northern Region,Uttarakhand,Pvt Sector,Pvt Sector,Hydro,829,3499,546,575.49,591.37,105.4,97.31,2604,2545.9,2935.19,97.77,86.74,NA,NA,NA,NA,NA,NA
208,Northern Region,Uttarakhand,Central Sector,DHAULI GANGA HPS,NA,280,1165,178,111.67,191.65,62.74,58.27,913,771.75,956.82,84.53,80.66,NA,NA,NA,NA,NA,NA
209,Northern Region,Uttarakhand,Central Sector,TANAKPUR HPS,NA,94.2,499,68,69.84,67.74,102.71,103.1,320,300.14,331.94,93.79,90.42,NA,NA,NA,NA,NA,NA
210,Northern Region,Uttarakhand,Central Sector,NHPC,Hydro,374.2,1664,246,181.51,259.39,73.78,69.98,1233,1071.89,1288.76,86.93,83.17,NA,NA,NA,NA,NA,NA
211,Northern Region,Uttarakhand,Central Sector,TAPOVAN VISHNUGAD HPS,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
212,Northern Region,Uttarakhand,Central Sector,NTPC Ltd.,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
213,Northern Region,Uttarakhand,Central Sector,NAITWAR MORI HPS,NA,0,215,30,0,0,0,0,151,0,0,0,0,NA,NA,NA,NA,NA,NA
214,Northern Region,Uttarakhand,Central Sector,SJVNL,Hydro,0,215,30,0,0,0,0,151,0,0,0,0,NA,NA,NA,NA,NA,NA
215,Northern Region,Uttarakhand,Central Sector,KOTESHWAR HPS,NA,400,1160,88,90.34,160.81,102.66,56.18,632,671.76,716.86,106.29,93.71,NA,NA,NA,NA,NA,NA
216,Northern Region,Uttarakhand,Central Sector,TEHRI ST-1 HPS,NA,1000,3000,264,269.46,488.83,102.07,55.12,1542,1796.97,1755.05,116.54,102.39,NA,NA,NA,NA,NA,NA
217,Northern Region,Uttarakhand,Central Sector,THDC,Hydro,1400,4160,352,359.8,649.64,102.22,55.38,2174,2468.73,2471.91,113.56,99.87,NA,NA,NA,NA,NA,NA
218,Northern Region,Uttarakhand,Central Sector,Central,Hydro,1774.2,6039,628,541.31,909.03,86.2,59.55,3558,3540.62,3760.67,99.51,94.15,NA,NA,NA,NA,NA,NA
219,Northern Region,Uttarakhand,Central Sector,Total,Natural Gas,664,250,20,0,0,0,0,127,294.81,0,232.13,0,NA,NA,NA,NA,NA,NA
220,Northern Region,Uttarakhand,Central Sector,Total,Hydro,3975.35,14673,1817,1740.41,2183.36,95.78,79.71,9487,9229.21,9973.09,97.28,92.54,NA,NA,NA,NA,NA,NA
221,Northern Region,Uttarakhand,Central Sector,Total,Uttarakhand,4639.35,14923,1837,1740.41,2183.36,94.74,79.71,9614,9524.02,9973.09,99.06,95.5,NA,NA,NA,NA,NA,NA
222,Northern Region,Uttar Pradesh,State Sector,ANPARA TPS,NA,2630,19700,1654,1673.09,1609.43,101.15,103.96,10311,9333.84,10247.65,90.52,91.08,87.35,88.35,84.99,89.27,80.81,88.72
223,Northern Region,Uttar Pradesh,State Sector,HARDUAGANJ TPS,NA,1265,6800,529,605.05,446.56,114.38,135.49,3518,3357.51,3508.6,95.44,95.69,58.08,66.43,49.03,63.32,60.43,63.15
224,Northern Region,Uttar Pradesh,State Sector,JAWAHARPUR STPP,NA,0,2000,163,0,0,0,0,477,0,0,0,0,34.3,0,0,16.46,0,0
225,Northern Region,Uttar Pradesh,State Sector,OBRA-C STPP,NA,0,2000,163,0,0,0,0,485,0,0,0,0,34.3,0,0,16.73,0,0
226,Northern Region,Uttar Pradesh,State Sector,OBRA TPS,NA,1000,5700,463,451.76,422.85,97.57,106.84,3061,2362.93,2643.43,77.19,89.39,64.31,62.74,53.68,69.69,53.8,55.02
227,Northern Region,Uttar Pradesh,State Sector,PANKI TPS EXT,NA,NA,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Northern Region,Uttar Pradesh,State Sector,PARICHHA TPS,NA,1140,5300,427,521.56,453.84,122.15,114.92,2857,2748.25,2854.36,96.19,96.28,52.02,63.54,55.29,57.06,54.89,57.01
229,Northern Region,Uttar Pradesh,State Sector,UPRVUNL,Coal,6035,41900,3399,3251.46,2932.68,95.66,110.87,20709,17802.53,19254.04,85.97,92.46,64.19,74.83,66.46,64.11,67.16,71.53
230,Northern Region,Uttar Pradesh,State Sector,State Sector,Thermal,6035,41900,3399,3251.46,2932.68,95.66,110.87,20709,17802.53,19254.04,85.97,92.46,64.19,74.83,66.46,64.11,67.16,71.53
231,Northern Region,Uttar Pradesh,State Sector,KHARA HPS,NA,72,334,40,36.68,44.91,91.7,81.67,229,170.59,195.1,74.49,87.44,NA,NA,NA,NA,NA,NA
232,Northern Region,Uttar Pradesh,State Sector,MATATILA HPS,NA,30.6,120,12,11.6,19,96.67,61.05,37,36.62,47.75,98.97,76.69,NA,NA,NA,NA,NA,NA
233,Northern Region,Uttar Pradesh,State Sector,OBRA HPS,NA,99,220,30,17.76,10.95,59.2,162.19,107,92.22,69.8,86.19,132.12,NA,NA,NA,NA,NA,NA
234,Northern Region,Uttar Pradesh,State Sector,RIHAND HPS,NA,300,650,80,42.18,21.54,52.73,195.82,310,209.09,141.61,67.45,147.65,NA,NA,NA,NA,NA,NA
235,Northern Region,Uttar Pradesh,State Sector,UPJVNL,Hydro,501.6,1324,162,108.22,96.4,66.8,112.26,683,508.52,454.26,74.45,111.94,NA,NA,NA,NA,NA,NA
236,Northern Region,Uttar Pradesh,State Sector,State Sector,Hydro,501.6,1324,162,108.22,96.4,66.8,112.26,683,508.52,454.26,74.45,111.94,NA,NA,NA,NA,NA,NA
237,Northern Region,Uttar Pradesh,Pvt Sector,BARKHERA TPS,NA,90,300,22,44.44,21.53,202.01,206.42,158,195.05,190.88,123.45,102.18,33.95,68.58,33.23,39.97,49.35,48.29
238,Northern Region,Uttar Pradesh,Pvt Sector,KHAMBARKHERA TPS,NA,90,280,21,44.09,23.78,209.95,185.41,149,205.62,187.04,138,109.93,32.41,68.04,36.7,37.69,52.02,47.32
239,Northern Region,Uttar Pradesh,Pvt Sector,KUNDARKI TPS,NA,90,325,24,43.13,7.63,179.71,565.27,172,202.36,186.25,117.65,108.65,37.04,66.56,11.77,43.51,51.19,47.12
240,Northern Region,Uttar Pradesh,Pvt Sector,MAQSOODPUR TPS,NA,90,280,21,43.15,22.92,205.48,188.26,149,211.49,187.77,141.94,112.63,32.41,66.59,35.37,37.69,53.5,47.5
241,Northern Region,Uttar Pradesh,Pvt Sector,UTRAULA TPS,NA,90,350,26,44.22,18.81,170.08,235.09,186,198.19,195.55,106.55,101.35,40.12,68.24,29.03,47.06,50.14,49.47
242,Northern Region,Uttar Pradesh,Pvt Sector,BEPL,Coal,450,1535,114,219.03,94.67,192.13,231.36,814,1012.71,947.49,124.41,106.88,35.19,67.6,29.22,41.19,51.24,47.94
243,Northern Region,Uttar Pradesh,Pvt Sector,ANPARA C TPS,NA,1200,8900,737,745.97,627.61,101.22,118.86,4597,4587.64,4087.73,99.8,112.23,85.3,86.34,72.64,87.22,87.05,77.56
244,Northern Region,Uttar Pradesh,Pvt Sector,LAPPL,Coal,1200,8900,737,745.97,627.61,101.22,118.86,4597,4587.64,4087.73,99.8,112.23,85.3,86.34,72.64,87.22,87.05,77.56
245,Northern Region,Uttar Pradesh,Pvt Sector,LALITPUR TPS,NA,1980,10500,844,1147.32,895.9,135.94,128.06,5634,6607.03,6453.63,117.27,102.38,59.2,80.48,62.84,64.79,75.98,74.21
246,Northern Region,Uttar Pradesh,Pvt Sector,LPGCL,Coal,1980,10500,844,1147.32,895.9,135.94,128.06,5634,6607.03,6453.63,117.27,102.38,59.2,80.48,62.84,64.79,75.98,74.21
247,Northern Region,Uttar Pradesh,Pvt Sector,PRAYAGRAJ TPP,NA,1980,12600,1048,1005.93,1020.7,95.99,98.55,6820,6568.46,6375.76,96.31,103.02,73.51,70.56,71.6,78.43,75.53,73.32
248,Northern Region,Uttar Pradesh,Pvt Sector,PPGCL (Jaypee),Coal,1980,12600,1048,1005.93,1020.7,95.99,98.55,6820,6568.46,6375.76,96.31,103.02,73.51,70.56,71.6,78.43,75.53,73.32
249,Northern Region,Uttar Pradesh,Pvt Sector,ROSA TPP Ph-I,NA,1200,6700,542,560.3,640.7,103.38,87.45,3636,3937.1,3885.95,108.28,101.32,62.73,64.85,74.16,68.99,74.7,73.73
250,Northern Region,Uttar Pradesh,Pvt Sector,RPSCL,Coal,1200,6700,542,560.3,640.7,103.38,87.45,3636,3937.1,3885.95,108.28,101.32,62.73,64.85,74.16,68.99,74.7,73.73
251,Northern Region,Uttar Pradesh,Pvt Sector,Pvt Sector,Thermal,6810,40235,3285,3678.55,3279.58,111.98,112.17,21501,22712.94,21750.56,105.64,104.42,67,75.02,66.89,71.89,75.94,72.72
252,Northern Region,Uttar Pradesh,Central Sector,MEJA STPP,NA,1320,7700,676,782.04,678.78,115.69,115.21,4322,4337.22,2941.53,100.35,147.45,71.13,82.29,71.42,74.55,74.81,50.74
253,Northern Region,Uttar Pradesh,Central Sector,MUNPL,Coal,1320,7700,676,782.04,678.78,115.69,115.21,4322,4337.22,2941.53,100.35,147.45,71.13,82.29,71.42,74.55,74.81,50.74
254,Northern Region,Uttar Pradesh,Central Sector,DADRI (NCTPP),NA,1820,12600,1037,902.34,878.56,87.01,102.71,6643,4963.02,5753.02,74.71,86.27,79.14,68.86,67.05,83.11,62.09,71.97
